这张图片展示了2023年全球医疗行业展望中关于碳排放来源及其对行业影响的详细分析。图片分为两部分，分别讨论了碳排放的来源和对行业的影响。

### 碳排放来源
1. **71%**：来自药品以及医院设备的供应链。
2. **12%**：来自购买的能源，如电力、蒸汽、制冷、制热。
3. **17%**：直接来自医疗设施和医疗相关交通工具。

### 对行业的影响
- **基础设施破坏**：影响对于能源和医疗服务的获取。
- **供应链中断**：将导致患者、医疗机构、生产商所需物品出现短缺。
- **更加复杂的医疗需求**：由于新的合并症的气候而引发，成本增加，加重人类疾病。

### 背景信息
- **医疗行业碳排放持续上升**：全球医疗行业有责任应对气候变化导致的健康后果，但该行业也产生了大量碳排放，导致气候变化。如果将全球医疗行业比作一个国家，那么它将成为世界第五大温室气体排放国，占全球碳排放总量的5%。
- **供应链问题**：医疗行业近70%的碳排放都来自于药品以及医院设备的供应链。由于这些碳排放通常是由第三方造成，且排放过程涉及化学品、医疗设备和食品，因此难以得到解决。尽管碳排放仍是最大的挑战之一，医疗机构还在寻找减少废弃物和推动可持续性的方法。在美国，医院每年产生的废弃物接近600万吨。
- **新冠疫情的影响**：新冠疫情也强调了废弃物的问题。个人防护用品（PPE）的广泛使用让医疗废弃物管理系统不堪重负。由于生物危害品处理费用的匮乏，约三分之一的个人防护用品无法得到安全地装载或储存。全球医疗行业在应对新冠疫情的过程中产生了近59,600万吨废弃物，包括2.8万多吨无害废弃物和6.7万吨医用废弃物。
- **供应链短缺**：极端天气和疾病爆发能够轻易阻断供应链，影响医疗用品的供应。新冠疫情期间，由于供应链短缺，临床医生不得不重复使用口罩和病号服，且常依赖于未经充分测试的方案，因此建立可持续化供应链更加刻不容缓。

### 总结
这张图片详细分析了医疗行业在碳排放方面的现状及其对行业的影响，强调了可持续性发展的重要性。医疗行业需要采取有效措施，减少碳排放，同时确保供应链的稳定性和可持续性，以应对气候变化带来的挑战。
