### 当前页内容（第44页）
**标题**：中国县域工业经济发展报告（2023年）
**图表内容**：
- **横坐标**：位次范围（1-10到91-100）
- **纵坐标**：不同省份
- **数据表示**：各省份在各个位次范围内的工业百强区数量
**数据来源**：中国信息通信研究院
**文本内容**：
- **标题**：工业增加值超500亿的工业百强区情况
- **内容概述**：
  - 500亿以上工业增加值市辖区阵容扩张
  - 2022年66个市辖区工业增加值超500亿，较2021年增6个
  - 这些市辖区工业增加值总量占全国14.8%，较2021年提升1个百分点
  - 14个市辖区工业增加值超1000亿

### 前一页内容（第43页）
**图表类型**：饼状图
**内容**：2023年中国县域工业经济发展报告中不同地区的百强区数量分布
**具体分布**：
- **东部地区（蓝色）**：21个
- **西部地区（绿色）**：5个
- **中部地区（深蓝色）**：4个
- **东北地区（浅蓝色）**：3个
**详细数量**：
- 广东省：21个
- 江苏省：21个
- 浙江省：17个
- 山东省：7个
- 福建省：6个
- 河北省：3个
- 山西省：2个
- 河南省：4个
- 湖北省：2个
- 湖南省：3个
- 辽宁省：2个
- 广西壮族自治区：2个
- 四川省：5个
- 内蒙古自治区：1个
- 云南省：1个
- 甘肃省：1个
- 安徽省：1个
- 江西省：1个
**数据来源**：中国信息通信研究院
**文字说明**：广东和江苏在百强区中保持领先优势，列举各省排名首位的百强区

### 后一页内容（第45页）
**文件名称**：中国县城工业经济发展报告（2023年）
**标题**：龙岗区（彩色字体，颜色多样）
**文字内容**：
- 工业增加值超500亿的市辖区多位于国家级城市群
- 2023年超500亿工业增加值市辖区分布：
  - 东部地区：51个（较上年增10个）
  - 中部地区：6个（较上年增1个）
  - 西部地区：8个（较上年增2个）
  - 东北地区：1个
- 国家级城市群分布：
  - 长江三角洲城市群：24个
  - 粤港澳大湾区：17个
  - 长江中游城市群：8个
  - 成渝城市群：4个
  - 关中平原城市群：2个
  - 呼包鄂榆城市群：1个
  - 其他非国家级城市群：10个
**水印**：左下角“CAICT”灰色水印
