### 简要内容

#### 1. **折线图部分**
- **毛利率**：展示了2018-2021年各板块龙头公司（爱尔眼科、通策医疗、锦欣生殖、朗姿股份、雍禾医疗、美年健康、固生堂）的毛利率变化，总体趋势稳定。
- **净利率**：展示了2018-2021年同一批公司的净利率变化，总体趋势也较为稳定。

#### 2. **表格部分**
- **2021年各细分赛道龙头公司单店营收、爬坡期及坪效**：
  - 眼科医院（如爱尔眼科）：单店营收4.58亿元，单店面积1200平方米，爬坡期4-5年，坪效3.82万元/平方米。
  - 其他细分赛道（口腔医院、辅助生殖等）也有相应数据。

#### 3. **文字部分**
- 描述了下游高费用率制约平均净利率低于20%的情况，以及异地复制能力和营运效率带来的规模优势。
- 提到医疗美容轻资产运营，爬坡与坪效领先。

#### 4. **其他信息**
- 数据来源：Wind、各公司官网&年报&招股说明书等。
- 国盛证券标志和名称。

### 细节内容

#### 前一页内容
- **标题**：2.3 上游盈利：研产壁垒支撑高毛利率
- **左上角文字**：高科技附加值赋能上游制造强盈利模式，医美上游高附加值、盈利能力领跑行业。爱美客2021年毛利率93.70%，净利率66.12%。
- **图表**：
  - 毛利率：爱美客、时代天使、昊海生科等公司2018-2021年数据。
  - 净利率：同上公司净利率变化。
  - 研发费用率：同上公司研发费用率变化。

#### 后一页内容
- **标题**：24 上游竞争：专科医疗研产为重，医疗美容盈利突出
- **图表**：
  - **眼科成本费用拆分**：制造费用40%，人力成本30%，材料成本20%，管理费用10%，销售费用10%，研发费用0%。
  - **医美成本费用拆分**：制造费用15%，人力成本5%，材料成本5%，管理费用5%，销售费用0%，研发费用70%。
  - **口腔成本费用拆分**：制造费用20%，人力成本15%，材料成本10%，管理费用5%，销售费用5%，研发费用0%。
- **具体数据**：
  - 昊海生科：7.5%、3.4%、10.3%、16.0%、34.7%、9.5%。
  - 欧普康视：0.6%、1.2%、3.5%、8.0%、18.8%、2.1%。
  - 爱博医疗：7.2%、4.0%、4.4%、12.1%、20.8%、12.0%。
  - 时代天使：1.0%、8.0%、14.9%、14.4%、18.9%、9.7%。
  - 爱美客：1.9%、1.7%、2.5%、4.5%、10.8%、7.1%。
  - 汤臣倍健：4.0%、1.3%、25.7%、5.2%、33.4%、2.0%。

### 数据来源
- Wind、各公司财报、国盛证券研究所。
