这是一张由国盛证券制作的关于2018-2021年各板块龙头公司盈利能力的图表。图表分为三个部分，分别展示了各板块龙头公司的毛利率、净利率以及2021年各细分赛道龙头公司的单店营收、爬坡期及坪效。

1. **毛利率图表**：
   - 图表展示了2018-2021年各板块龙头公司的毛利率，包括爱尔眼科、通策医疗、锦欣生殖、朗姿股份、雍禾医疗和美年健康。
   - 毛利率在2018-2021年期间的变化趋势，各公司毛利率有所不同，但总体上呈现一定的波动。

2. **净利率图表**：
   - 图表展示了2018-2021年各板块龙头公司的净利率，包括爱尔眼科、通策医疗、锦欣生殖、朗姿股份、雍禾医疗和美年健康。
   - 净利率在2018-2021年期间的变化趋势，各公司净利率有所不同，但总体上呈现一定的波动。

3. **单店营收、爬坡期及坪效图表**：
   - 图表展示了2021年各细分赛道龙头公司的单店营收、爬坡期及坪效，包括眼科医院（爱尔眼科）、口腔医院（通策医疗）、辅助生殖（锦欣生殖）、医美医院（朗姿股份）、植发医院（雍禾医疗）、体检中心（美年健康）和中医诊疗（固生堂）。
   - 各公司的单店营收、爬坡期及坪效数据，例如爱尔眼科的单店营收为4.58亿元，爬坡期为4-5年，坪效为3.82万元/平米。

图表下方还附有注释，说明了各公司的选取标准以及数据来源，包括Wind、各公司官网、招股说明书、大众点评、康护网、好孕帮、国盛证券研究所等。
