### 图表描述

这张图表详细展示了中国眼科疾病的统计数据和趋势分析，以及眼科医疗服务市场的规模和细分情况。主要内容包括：

1. **眼科疾病患者人群**：
   - 近视、干眼症、白内障、青光眼、视网膜疾病和斜弱视的患者人数。
   - 2015-2025年近视、干眼症和白内障患者数量的变化趋势。
   - 2020年不同年龄段青少年儿童的近视率。
   - 2015-2025年白内障手术量的增长趋势。

2. **眼科医疗服务市场规模**：
   - 2021年市场规模及近5年增长率。
   - 眼科药物、器械及服务的市场占比。
   - 医学视光与屈光手术市场规模，以及白内障服务的市场占比。

3. **眼科疾病分类及对应产品线**：
   - 眼前部疾病（如虹膜、前房角、晶状体等）和眼后部疾病（如视网膜、脉络膜等）的分类及对应疾病。

4. **眼科医疗服务主要服务及产品价格**：
   - 屈光不正和白内障服务的具体产品及价格范围。

5. **数据来源**：
   - 动脉网、CHC医疗传媒、群鹰、国盛证券研究所。

### 图表类型

**组合图表**

这张图表结合了多种图表类型，包括：

- **柱状图**：用于展示不同眼科疾病的患者人数和各年龄段近视率。
- **折线图**：用于展示2015-2025年眼科疾病患者数量和白内障手术量的变化趋势。
- **饼图**：用于展示眼科医疗服务市场的细分占比。
- **表格**：用于详细列出眼科疾病分类及对应产品线，以及主要服务及产品价格。

这种组合图表能够全面、多维度地展示复杂的数据信息，适合用于综合分析和数据展示。
