### 标题：34 产品型健管：保健品格局高度分散，产品+营销成就品牌

#### 副标题：
- 行业CR3仅13.90%!
- 细分赛道各具千秋：2020年我国保健品市场CR3/CR5/CR10占比分别达14%!/20%!/30%!
- 汤臣倍健以6.4%!的市场份额位居保健品行业第一
- 西王食品与康宝莱分别以29%!/47%!的市场占有率位居运动营养类与体重管理类赛道第一

#### 图表内容：
1. **2020年中国保健品市场格局**：
   - 汤臣倍健：6.4%!
   - 无极限：3.90%!
   - 安利：3.60%!
   - 其他：86.10%!

2. **2019年中国运动营养类保健品市场占有率**：
   - 西王食品：30%!
   - 康比特：29%!
   - 汤臣倍健：18%!
   - The Hut Group：17%!
   - 其他：6%!

3. **2019年中国体重管理类保健品市场占有率**：
   - 康宝莱：47%!
   - 欧瑞莲：31%!
   - 绿健生物科技：11%!
   - 安利：4%!
   - 其他：7%!

4. **消费者选择保健品考虑因素**：
   - 包装：3.7%!
   - 健康咨询服务：7.4%!
   - 产地：14.3%!
   - 价格：33.5%!
   - 品牌：40.1%!
   - 产品资质：47.1%!
   - 功能：55.9%!

5. **保健品销售渠道变化**：
   - 2015年：直销 39%!, 电商 25%!
   - 2020年：直销 18%!, 电商 40%!

6. **主要保健产品布局渠道**：
   - 汤臣倍健、BY-HEALTH、健力多、健乐多、健视佳、天然博士：商超、电商平台、线下门店

#### 数据来源：
- 艾媒咨询、各公司官网及年报、国盛证券研究所

---

### 标题：34 行业空间：由可选走向必选的千亿市场

#### 概述：
- 随着健康意识提升，消费者对保健品和体检需求增加，市场规模不断扩大。

#### 图表内容：
1. **中国保健行业市场规模及预测**：
   - 2016-2023年市场规模（亿元）及同比增长率（YoY）
   - 市场规模从1446亿元增长到3283亿元，整体呈上升趋势。

2. **中美两国各年龄段保健品渗透率（%!）**：
   - 中国渗透率普遍低于美国，尤其在24岁以下和65岁以上年龄段。

3. **中国保健行业主要产品占比**：
   - 2017-2019年不同类型保健品占比
   - 维生素和膳食补充剂占比最高，其次是中药传统保健品。

4. **我国健康体检市场规模（亿元）**：
   - 2015-2020年市场规模从917亿元增长到1767亿元。

5. **我国年度健康体检人次（亿次）**：
   - 2008-2020年人次增长，CAGR为6.31%!

6. **我国健康体检客单价（元）**：
   - 2015-2020年客单价从238.18元增长到410.78元，CAGR为9.51%!

#### 数据来源：
- IQVIA、智研咨询、华经产业研究院、中国卫生健康统计年鉴、国盛证券研究所

---

### 标题：34 服务型健管：标准化模式与渠道加密助推民营机构兴起

#### 文本内容：
- 消费者重视就近原则和服务体验
- 2019年中国体检市场公立医院与民营机构市场份额分别为70.8%!和29.2%!
- 政策鼓励非公立医疗机构，社会资本崛起，民营机构迅速发展

#### 图表内容：
1. **2019年中国体检机构市场份额**：
   - 公立医院体检部门：70.8%!
   - 民营专业体检机构：21.5%!
   - 其他医疗机构：7.7%!

2. **2016年专业体检市场格局**：
   - 美年大健康：59.8%!
   - 爱康国宾：12.3%!
   - 慈铭体检：8.3%!
   - 华检体检：2.8%!
   - 其他：15.6%!

3. **消费者选择体检机构考虑因素**：
   - 门店数量
   - 价格优势
   - 服务质量

4. **公立、民营体检机构对比**：
   - 设备技术、服务定位、交叉感染风险、经营模式等方面对比

#### 数据来源：
- 观研天下、Frost & Sullivan、国盛证券研究所
