这张图片展示了中国保健行业市场空间和发展的相关数据。图片分为多个部分，每个部分通过图表和文字描述展示了不同的信息。

1. **标题和概述**：
   - 标题是“34 行业空间：由可选走向必选的千亿市场”，说明保健行业正在从可选消费向必选消费转变，市场空间巨大。
   - 文字部分提到，随着健康意识的提升，消费者对保健品和体检的需求增加，市场规模不断扩大。

2. **图表内容**：
   - **图1：中国保健行业市场规模及预测**：
     - 显示了2016年至2023年市场规模（亿元）和同比增长率（YoY）。
     - 市场规模从2016年的1446亿元增长到2023年的3283亿元，增长率波动较大，但整体呈上升趋势。

   - **图2：中美两国各年龄段保健品渗透率（%）**：
     - 比较了中国和美国不同年龄段的保健品渗透率。
     - 中国的渗透率普遍低于美国，尤其是在24岁以下和65岁以上的年龄段。

   - **图3：中国保健行业主要产品占比**：
     - 显示了2017年至2019年不同类型保健品的占比，包括维生素和膳食补充剂、儿童保健品、中药传统保健品、体重管理和健康。
     - 维生素和膳食补充剂占比最高，其次是中药传统保健品。

   - **图4：我国健康体检市场规模（亿元）**：
     - 显示了2015年至2020年健康体检市场规模，市场规模从2015年的917亿元增长到2020年的1767亿元。

   - **图5：我国年度健康体检人次（亿次）**：
     - 显示了2008年至2020年健康体检人次的增长情况，复合年增长率（CAGR）为6.31%。

   - **图6：我国健康体检客单价（元）**：
     - 显示了2015年至2020年健康体检客单价，从2015年的238.18元增长到2020年的410.78元，复合年增长率（CAGR）为9.51%。

3. **数据来源**：
   - 数据来源于IQVIA、智研咨询、华经产业研究院、中国卫生健康统计年鉴、国盛证券研究所。

这张图片通过多个图表和数据，详细展示了保健行业的发展趋势、市场规模、产品结构以及健康体检的相关数据，为行业分析和投资决策提供了参考。
