这张图片展示了通策医疗的财务和业务发展情况，包括多个图表和文字说明。以下是图像内容的详细描述：

1. **标题**：图片的标题是“45 通策医疗：内外并行吸引人才，总分院模式强化扩张”，表明通策医疗通过内外并行的方式吸引人才，并强化总分院模式以实现扩张。

2. **文字说明**：
   - **区域总院+分院模式奠定竞争力基石**：公司以总院负责支撑医疗服务技能与学术地位，分院负责品牌影响力扩张并为患者提供就诊便利。这种模式增强了商业化和可复制性，便于积累口碑和快速扩张。
   - **内部高效管理，吸引优质医师**：包括横向组织跨学科团队和纵向进行总院医师合作，以医生为核心分配资源，优化诊疗过程，促进医生效率和创造力。公司通过医教研合作、核心医生持股等方式吸引优质人才。
   - **省内蒲公英计划+省外打造“存济”品牌，加速扩张**：公司合作杭州口腔集团，将优质医生和机构下沉至浙江基层，截至2022年7月，已开业11家医院，下半年拟建8-10家。依托高校成立“存济医生集团”，实现北京、上海、广州等城市持续跑马圈地。

3. **图表**：
   - **图1：通策医疗营收及归母净利润（亿元，%）**：展示了2017年至2022年上半年的营业收入和归母净利润，以及营收增速和利润增速。
   - **图2：通策医疗毛利率及净利率水平（%）**：展示了2017年至2022年上半年的毛利率和净利率。
   - **图3：通策医疗主营业务构成（亿元）**：展示了2016年至2021年各主营业务（种植、正畸、儿科、综合）的收入构成。
   - **图4：通策医疗费用率水平（%）**：展示了2017年至2022年上半年的销售费用率、管理费用率、研发费用率和财务费用率。

4. **数据来源**：图表数据来源于Wind和国盛证券研究所。

整体来看，这张图片详细展示了通策医疗在财务和业务发展方面的多个维度，包括收入、利润、费用率以及主营业务构成等，并提供了相应的文字说明来解释这些数据和趋势。
