这张图片展示了关于固生堂和美年健康的深度行业研究报告，标题分别为“410 固生堂：民营中医龙头，人才为基石建立数字化服务”和“4.9 美年健康：精细化管理与体外扩张推动量价齐升”。这些报告由国盛证券研究所发布，旨在分析两家公司在医疗健康领域的业务拓展、财务表现以及未来发展方向。

### 固生堂报告内容概述：
1. **业务拓展**：
   - 固生堂已在全国建成42家医疗机构，其中外延并购32家，自建门店10家。
   - 年服务患者达267万人次，近3年CAGR达23%。
   - 实现收入13.75亿元，其中广州、深圳、上海前三大城市合计收入占比近65%。

2. **人才战略**：
   - 与10+家中医院达成医联体合作，以股权激励与名医工作室等方式聚集业内名医。
   - 现有执业医师2.3万名，资深医师9281名，居民营机构首位。
   - 合作三年以上医师收入占比近70%，持续贡献稳定收入体量。

3. **数字化战略**：
   - 自主研发云HIS，整合线下网络与线上平台，使用数字化运营系统收集客户反馈。
   - 建立电子病历和诊疗记录，创造精细服务，赋能客户粘性。
   - 互联网医疗服务已覆盖全国340个城市，过去三年用户回头率均超50%。

### 美年健康报告内容概述：
1. **业务收购与扩展**：
   - 通过收购模式迅速拓展机构网点，至2021年公司旗下体检机构已达613家。
   - 参股体检中心339家，控股体检中心274家，合计实现营收91.56亿元，同比增长16.66%。

2. **客户体验优化**：
   - 以《美年健康医疗质量考核标准800分》为标准，持续优化客户体验。
   - 2021年共接待人次3080万人，同比增长16.01%，平均客单价同比增长2.6%至520元。

3. **技术创新**：
   - 积极引进全容积乳腺超声检测系统、全面上线眼科PACS系统。
   - 新增眼底相机、眼科OCT等设备，在头部筛查、基因检测等项目上不断创新。

### 风险提示：
1. **行业竞争加剧**：消费医疗细分赛道集中度相对分散，行业竞争者较多或导致竞争格局恶化。
2. **政策风向变化**：政策变动对医疗行业影响深远，医美与康养行业监管趋严，专科医疗板块仍面临集采增量扩面压力。
3. **疫情影响延续**：疫情反复影响上游医疗器械制造端产能释放与物流触达，下游医疗服务机构或面临静默管控等停诊风险。
4. **产品研发不及预期**：医疗器械产品研发取证受NMPA严格监管，产品获证难度较高，审批流程复杂，研发进度或不及预期。

这些报告和风险提示为投资者和从业者提供了重要的参考信息，帮助他们更好地理解医疗健康行业的现状和未来发展趋势。同时，也提醒他们注意行业风险，做好相应的应对策略。
