这张图片展示了关于医疗机器人的信息，包括它们的分类和优势赛道。图片的标题是“医疗机器人”，副标题为“智能服务覆盖就诊全流程，大幅解放医护人力”。图片中详细描述了医疗机器人在国外的发展情况，以及国内医疗机器人行业的现状和未来潜力。

图片中包含以下内容：

1. **医疗机器人的分类**：
   - **手术机器人**：包括腹腔镜手术机器人、神经外科手术机器人、口腔手术机器人、骨科镜手术机器人、血管介入手术机器人。
   - **康复机器人**：包括外骨骼康复机器人、上下肢康复机器人、移动式康复机器人、悬挂式康复机器人。
   - **辅助机器人**：包括诊断机器人、配药机器人、胶囊机器人、培训机器人。
   - **服务机器人**：包括照护机器人、医用物流机器人、消毒杀菌机器人、移动病人机器人。

2. **手术机器人的优势赛道**：
   - **临床效果、医生体验优势明显，满足患者及医生需求**：多环境触达、辅助医生实现精准操作、器械精细、创伤更小、提升手术安全性与稳定性、过渡震动、缓解医生术中高疲劳感、机械臂更加灵活、提高手术精准度。
   - **资本市场热度高，商业化进程提速**：由于研发时间久、资金投入大、回报周期长的特点，手术机器人产业的发展需要资本市场的支持。2021年国内手术机器人融资事件数量共33起，其中20起单笔融资金额在1亿元以上。
   - **未来市场空间庞大，有望于2024年突破百亿元**：2019-2025年中国手术机器人市场规模逐年增长，预计到2025年将达到177亿元。

3. **数据来源**：Medrobot，艾瑞咨询研究院自主研究及绘制。

图片底部注明了来源和版权信息，由艾瑞咨询研究院制作，并附有他们的网站链接。
