这张图片展示了医疗科技行业的发展趋势，特别是中国医疗健康市场的规模。图片中的内容提供了以下关键信息：

### 背景信息
1. **标题与副标题**：
   - 标题：“医疗科技行业发展趋势”
   - 副标题：“未来发展空间广阔，于医疗健康市场的占比有望进一步提升”

2. **市场规模**：
   - 2021年中国医疗健康资金需求规模预计超过9万亿元人民币，同比增长14.6%。
   - 预计到2026年，市场规模有望突破15万亿元人民币。

3. **细分市场**：
   - 医疗科技行业中“服务&用户”板块的市场规模最为可观。
   - 在线诊疗及医药电商在2021年的市场规模约为2400亿元人民币，仅占总体医疗健康市场规模的2.6%。

4. **渗透率与潜力**：
   - 目前医疗科技在整体医疗健康市场中的渗透率较低，但具备较大的上升空间。
   - 随着技术、应用和服务等要素的联动融合，医疗科技各细分赛道将助力医疗服务模式实现系统性优化，从而完成行业整体规模的再次飞跃式增长。

5. **图表数据**：
   - 2016年至2026年的市场规模变化情况，单位为十亿元人民币。
   - 2016年至2021年的市场规模分别为：5,314.3、5,879.9、6,493.7、7,010.0、8,037.3、9,207.6。
   - 2022年至2026年的市场规模预测分别为：10,499.0、11,922.1、13,353.5、14,908.3、16,461.7。
   - 2016年至2021年的复合年增长率（CAGR）为9.59%，2021年至2026年的复合年增长率（CAGR）为10.17%。

6. **来源与版权**：
   - 图片来源于艾瑞咨询研究院自主研究及绘制，时间为2022年12月。
   - 图片右下角有艾瑞咨询的标志和网址（www.iresearch.com.cn），以及页码57。

### 总结
这张图片通过文字和图表详细展示了医疗科技行业的发展趋势和市场规模，为相关领域提供了重要的数据支持。随着技术的不断进步和应用的深入，医疗科技在中国医疗健康市场中的占比有望进一步提升，未来发展空间广阔。
