这张图片展示了德勤全球2024年Z世代与千禧一代调研报告的第15页内容。图片中包含了一些文字和图表，主要讨论了Z世代和千禧一代在应对气候变化方面的态度和行为。

1. **文字内容**：
   - 文字部分提到，Z世代和千禧一代中有20%和19%的人已经因为环境问题而跳槽或改行，分别有26%的Z世代和23%的千禧一代计划在未来更换工作或行业。在寻找新雇主时，四分之一的Z世代和千禧一代在接受他们的工作之前已经对公司的环境影响和政策进行了研究，并有三分之一的人计划在未来这样做。72%的Z世代和71%的千禧一代表示，在考虑潜在雇主时，环保资质和政策是重要的考虑因素。

2. **图表内容**：
   - **柱状图**：展示了Z世代和千禧一代在接收到公司的环境政策影响之前，研究公司环境政策/政策的比例。Z世代中有27%的人已经做过，32%的人未来有计划；千禧一代中有25%的人已经做过，30%的人未来有计划。
   - **条形图**：展示了Z世代和千禧一代在应对气候变化时，主要投入更多资源（金钱或时间，或两者兼有）的几个重要行动。包括：
     - 教育和培训员工如何更可持续地生活（Z世代25%，千禧一代29%）
     - 为员工提供补贴以促进可持续的环境选择（Z世代25%，千禧一代27%）
     - 翻新办公场所，使其更环保（Z世代19%，千禧一代21%）
     - 将核心商业模式转变为更可持续的模式（Z世代19%，千禧一代19%）
     - 承诺在未来十年内实现温室气体净零排放（Z世代18%，千禧一代17%）
     - 与各国政府更密切地合作，推进可持续发展举措（Z世代18%，千禧一代18%）

3. **饼状图**：展示了表示自己和同事正在向雇主施压，要求其对气候变化采取行动的人数占比。Z世代占54%，千禧一代占48%。

整体来看，这张图片展示了Z世代和千禧一代在应对气候变化方面的态度和行动，以及他们对雇主在环境政策方面的期望。
