这张图片展示了德勤全球2024年Z世代与千禧一代调研报告中的两页内容，分别探讨了这两代人在应对气候变化和科技工作环境方面的态度和行为。

### 第15页内容分析
1. **气候变化与雇主责任**：
   - **跳槽与改行**：20%的Z世代和19%的千禧一代已经因为环境问题而跳槽或改行，分别有26%的Z世代和23%的千禧一代计划在未来更换工作或行业。
   - **研究公司环境政策**：四分之一的Z世代和千禧一代在接受工作之前已经对公司的环境影响和政策进行了研究，并有三分之一的人计划在未来这样做。
   - **雇主选择因素**：72%的Z世代和71%的千禧一代表示，在考虑潜在雇主时，环保资质和政策是重要的考虑因素。

2. **图表展示**：
   - **柱状图**：展示了Z世代和千禧一代在接收到公司的环境政策影响之前，研究公司环境政策的比例。
   - **条形图**：展示了Z世代和千禧一代在应对气候变化时，主要投入更多资源的几个重要行动，包括教育和培训员工、提供补贴、翻新办公场所、转变商业模式、承诺温室气体净零排放、与政府合作等。

3. **饼状图**：展示了表示自己和同事正在向雇主施压，要求其对气候变化采取行动的人数占比，分别为54%的Z世代和48%的千禧一代。

### 第16页内容分析
1. **生成式AI与工作**：
   - 页面标题为“生成式AI与工作”，背景为浅绿色，顶部有导航栏。
   - 两张图片分别展示了女性操作电脑和男性编程的场景，传达出科技和工作的主题。

### 综合分析
这两页内容展示了Z世代和千禧一代在应对气候变化和科技工作环境方面的态度和行为。他们不仅关注气候变化，还积极推动雇主采取行动，同时也在科技工作环境中寻求创新和变革。这些数据反映了这两代人对社会和环境问题的关注，以及他们在职业选择和工作环境中的期望。
