这张图片展示了一份关于中国互联网医院发展的报告，标题为“资本助推互联网医院发展”。报告分为几个部分，详细描述了互联网医疗政策与资本的发展历程，以及2013年至2020年期间的相关政策和融资情况。

1. **标题**：报告的标题是“资本助推互联网医院发展”，位于图片的顶部。
2. **内容概述**：
   - 报告提到，互联网医疗行业是政策导向型行业，政策与资本相辅相成。
   - 2017年，数字化医疗的投资事件和融资规模都有所下降。
   - 2018年开始，政策导向才显现出放开和明朗的趋势，政策规范实现鼓励、支持行业的发展，数字化医疗行业迎来了快速发展。
   - 2019年，市场投资规模已远超2019年，达到3000亿元人民币。
   - 2020年初，疫情加速了互联网医疗市场的发展，国家迅速颁布了相关政策，从“医”、“药”、“险”三方面支持互联网医疗。
3. **图表**：图片中有一个图表，标题为“2013-2020年医疗数字化政策及融资规模”，图表分为三个阶段：
   - **萌芽与探索阶段（2000-2014年）**：包括2014年首次允许互联网药品经营企业销售处方药。
   - **爆发与洗牌阶段（2015-2017年）**：包括2016年国务院首次将互联网医疗纳入国家战略层面，2017年国家加强对互联网医疗的监管与管理。
   - **圈地与突破阶段（2018-2020年）**：包括2019年明确互联网医疗保报销制度，2020年疫情推动互联网医疗服务的模式发展，支付政策细则落地。

4. **数据来源**：报告的数据来源于公开信息、IT桔子网和德勤整理。

总体而言，这张图片详细描述了中国互联网医院的发展历程，以及政策与资本在其中的作用。
