### QA对

**问：华源证券研究报告主要关注哪些业务板块？**

**答：华源证券研究报告主要关注以下三个业务板块：**

1. **康复辅助器具业务**：
   - 产品布局包括轮椅、护理床、拐杖、护理耗材、助听器、导尿器、接尿器、助行器、坐厕椅/洗澡椅、防褥疮床垫、吸痰器等。
   - 2023年收入7.7亿元，同比增长30.5%。
   - 24H1收入6.0亿元，同比增长72.8%。
   - 毛利率从2017年的26.1%提升至24H1的61.5%。

2. **医疗护理业务**：
   - 产品布局包括造口护理（造口袋、造口护理配件）、家庭健康常备（口罩、手套、药箱、创可贴、纱布敷料、棉签棉球等）、医美护肤（洁面巾、洁面膏、面膜、水乳喷雾、精华液等）。
   - 24H1收入3.9亿元，同比下降7.2%。
   - 毛利率持续提升，24H1毛利率为53.6%。

3. **中医理疗业务**：
   - 产品布局包括理疗仪、艾叶及制成品、温灸产品、拔罐器等。
   - 2023年收入1.5亿元，同比增长21.0%。
   - 研发投入1.4亿元，占比4.0%。

**问：报告中的图表展示了哪些关键数据？**

**答：报告中的图表展示了以下关键数据：**

1. **康复辅助器具业务**：
   - 图20：收入逐年增长。
   - 图21：毛利率逐年提升。

2. **医疗护理业务**：
   - 图23：收入和yoy趋势，2022年后yoy趋于平稳。
   - 图24：毛利率波动，24H1大于50%。

**问：报告对公司的整体评价如何？**

**答：报告对公司的整体评价是积极的，突显了公司在健康产业中的综合实力和发展潜力。报告详细分析了公司在各领域的增长趋势和研发投入，展示了公司在康复辅助器具、医疗护理和中医理疗三大业务板块的布局和收入情况，强调了公司在健康产业中的领先地位。**
