### 图表描述

**图表标题**：中国医疗大健康产业发展概览（2018-2023年）

**图表内容**：
1. **医疗资源情况**：
   - 展示了2018年、2020年及2022年中国医疗资源的变化情况，包括医疗卫生机构总数、每千人口医师数、每千人口护士数以及病床使用率等关键指标。
   - 数据显示，尽管医疗资源紧张程度有所缓解，但资源配置仍需优化。

2. **不同等级医院数量与就诊人数**：
   - 2021-2022年中国不同等级医院（如三甲医院、二甲医院等）的数量及其对应的就诊人数。
   - 反映了各级医院的诊疗负担和资源分配情况。

3. **创新药注册申请情况**：
   - 展示了2019-2023年中国创新药IND（临床试验申请）和NDA（新药上市申请）的受理数量。
   - 数据表明，创新药注册申请量显著增长，体现了政策对创新药研发的支持。

4. **优先审评通过品种占比**：
   - 2021年至2023年中国优先审评通过的药品品种占比情况。
   - 显示了政策对加快创新药审评审批的积极影响。

### 图表类型

**组合图表**：
- **柱状图**：用于展示不同年份的医疗资源情况（如医疗卫生机构总数、每千人口医师数等）。
- **折线图**：用于展示创新药IND和NDA受理数量的年度变化趋势。
- **饼图或环形图**：用于展示优先审评通过品种的占比情况。
- **散点图或气泡图**：用于展示不同等级医院的数量与就诊人数的关系。

这种组合图表能够全面、直观地展示中国医疗大健康产业的需求环境、政策环境和发展现状，帮助读者快速理解复杂的数据和信息。
