### 2023年中国医疗大健康产业发展白皮书

#### 流程图：药物研发阶段
- **靶点筛选至苗头化合物**
  - 成功率：35%
  - 研发成本：0.9万美元
  - 开发时长：1年
- **苗头化合物至先导化合物**
  - 成功率：50%
  - 研发成本：1.7万美元
  - 开发时长：1.5年
- **先导化合物优化**
  - 成功率：60%
  - 研发成本：4.1万美元
  - 开发时长：2年
- **临床前**
  - 成功率：70%
  - 研发成本：1.5万美元
  - 开发时长：1年
- **临床I期**
  - 成功率：80%
  - 研发成本：2.7万美元
  - 开发时长：1.5年
- **临床II期**
  - 成功率：75%
  - 研发成本：3.2万美元
  - 开发时长：2.5年
- **临床III期**
  - 成功率：80%
  - 研发成本：3.1万美元
  - 开发时长：2.5年
- **上市申请**
  - 成功率：90%
  - 研发成本：0.5万美元
  - 开发时长：1.5年

#### 全球前20制药公司及AIDD公司管线开发进程分布（2018-2023年）
- **柱状图颜色代表**
  - 深蓝色：药物发现/临床前
  - 蓝色：临床I期
  - 浅蓝色：临床II期
  - 白色：临床III期
- **数据缺失**

#### 图片来源
- Nature
- 国家药监局
- 清华大学
- 弗若斯特沙利文
- 头豹研究院

### 前一页内容
- **标题**：Chapter 2.2 生物制药：行业发展趋势
- **设计**：左侧白色背景，右侧蓝色背景，DNA分子图案
- **标志**：CIF、Frost & Sullivan、LeadLeo

### 后一页内容
- **标题**：发展态势：中国基础研究加码，试验成果转化仍有上升空间
- **副标题**：中国科研经费以试验发展为主要落脚点，推动创新药试验成果转化

#### 图表内容
- **中、美基础研究、应用研究和试验发展方面研发投入对比（2010-2023E）**
  - 美国：基础研究18.3%，应用研究20.0%，试验发展60.8%
  - 中国：基础研究4.6%，应用研究12.7%，试验发展82.7%
- **国家级高新技术产业开发区数量及生物医药类占比（2023）**
  - 总数：173家
  - 生物医药类：72家（占比41.6%）
- **临床试验注册中1类生物创新药占比（2020-2023E）**
  - 治疗用生物制剂：2020年65.4%，2021年69.7%，2022年77.0%，2023年79.2%
  - 预防用生物制剂：2020年46.0%，2021年58.3%，2022年51.0%，2023年49.6%

#### 文字描述
- 监管政策趋严，药品开发多环节难点，新药落地时间及成本高
- 试验发展是中国科研投入主要方向，2010-2023年占比83.3%，较美国高18.9%
- 政府推动生物医药产业集群建设，提升全球竞争力

#### 数据来源
- 国统局
- OECD
- 弗若斯特沙利文
- 头豹研究院

#### 标识
- CII
- Frost & Sullivan
- 头豹
