### 图表描述

这张图表详细展示了2024年中国医疗大健康产业中中药新药研发的发展趋势。标题为“Chapter 5.2 中医药：行业发展趋势”，封面设计简洁，左侧为白色背景，右侧为蓝色和橙色的DNA分子结构图，象征生物科技和医药行业。图表内容主要包括：

1. **中药新药研发流程模式化发展**：
   - 流程图展示了从立项、临床前研究（约2年）、临床试验（约3-4年）到申报上市的规范化流程。
   - 强调了处方和人用经验的重要性，以提高研发成功率。

2. **多种适应症广泛覆盖**：
   - 中药新药适应症涵盖呼吸系统、消化系统和神经系统等多个领域。
   - 饼状图显示了2021年至2023年间，获批IND和NDA的中药新药适应症领域占比，其中呼吸系统疾病及过敏反应的占比显著增加。

3. **政策支持与市场潜力**：
   - 2023年2月《中药注册管理专门规定》出台，推动中药新药研发流程规范化。
   - 中药在多个治疗领域的潜力逐步得到认可，未来发展方向趋向多元化和精准化。

图表底部注明来源为“国家药监局，弗若斯特沙利文，头豹研究院”。

### 图表类型

1. **流程图**：展示中药新药研发的各个阶段及其时间周期。
2. **饼状图**：展示2021年至2023年间，获批IND和NDA的中药新药适应症领域占比。
