### QA对

**问题：** 2024年中国医疗大健康产业中，中药新药研发的发展趋势是什么？

**回答：** 2024年中国医疗大健康产业中，中药新药研发的发展趋势主要体现在以下几个方面：

1. **药食同源健康趋势**：
   - 消费者对有机产品和天然成分的偏好增加。
   - 政府支持文件扩大健康产品添加目录，推动药食同源产品成为主流。

2. **各国居民对健康产品消费侧重**：
   - 中国居民更注重临床验证的疗效（29%），其次是两者均有（27%）。
   - 英国和美国居民同样注重临床验证的疗效，分别为43%和41%。

3. **政府发文涵盖的食药物质目录**：
   - 政府发文涵盖87种食药物质，如丁香、八角茴香等，促进中药材在健康食品领域的创新应用。

4. **中药新药研发流程模式化发展**：
   - 中药新药研发流程规范化，强调处方和人用经验，以提高研发成功率。

5. **多种适应症广泛覆盖**：
   - 中药新药适应症涵盖呼吸系统、消化系统和神经系统等多个领域，其中呼吸系统疾病及过敏反应的占比显著增加。

6. **政策支持与市场潜力**：
   - 2023年《中药注册管理专门规定》出台，推动中药新药研发流程规范化。
   - 中药在多个治疗领域的潜力逐步得到认可，未来发展方向趋向多元化和精准化。

综上所述，中药新药研发在中国医疗大健康产业中呈现出规范化、多样化和精准化的发展趋势。
