这张图片展示了一份关于医疗AI领域投资趋势的分析报告，标题为“医疗AI领域投资热度呈现波动上升态势，AI医学影像等细分赛道备受资本青睐”。图片中包含了一些文字说明和一张图表。

1. **文字说明**：
   - 根据数据，2013年至2021年10月，中国医疗AI领域共发生1121起投资事件，投资总金额达到1718.19亿元，投资热度呈现波动上升态势。
   - 投资案例数在2014年开始受到资本广泛关注，2018年达到近年来的高位。2019年，受到资本寒冬影响，医疗AI领域投资热度有所回落，投资案例数下滑至149起。
   - 从投资金额来看，2013-2016年，医疗AI领域的股权投资规模相对较小，2017年-2021年保持较高增长态势。

2. **图表**：
   - 图表展示了2012年及以前至2021年10月期间，中国医疗AI领域的投资金额（亿元）和投资案例数。
   - 蓝色柱状图代表投资金额，黄色折线代表投资案例数。
   - 从图表中可以看到，投资金额和投资案例数在2014年至2018年间有显著增长，2019年有所回落，2020年再次上升，2021年10月的数据显示投资金额和案例数均有所下降。

3. **其他信息**：
   - 报告指出，我国医疗AI市场以早期投资为主，优质成熟项目备受大额资本青睐。
   - 投资阶段主要集中在早期项目，种子/天使轮和Pre-A/A/A+轮分别有292和275起项目获投，合计占总投资数量的近五成。
   - 投资金额主要集中在战略投资阶段，获投总额达到850.86亿元，占全部获投金额的48.96%。
   - 医学影像、医疗信息化、新药研发等成为医疗AI领域热门投资方向，其中AI医学影像为最热门赛道，投资案例数合计39起，占投资总数的27.86%。

4. **来源**：
   - 数据来源：36氪研究院。

这张图片通过文字和图表详细分析了医疗AI领域的投资趋势，展示了不同年份的投资金额和案例数变化，以及投资阶段和热门投资方向的分布情况。
