这张图片详细介绍了医疗AI在医学影像领域的应用，特别是AI技术在腹部和骨骼方面的应用场景。图片中的内容主要分为以下几个部分：

1. **腹部影像**：
   - 国内针对腹部的AI医学影像产品主要集中在肝脏、胃、胆囊等器官上。
   - 肝脏是癌症的第二大致死原因，早期筛查是提高治疗效果的关键。
   - 肝脏结构复杂，肝脏疾病的影像诊断相对困难，对医生的专业性要求较高。
   - AI技术在肝脏影像的应用，能够更精准定位病灶区域，辅助医生对病灶进行定量定性分析，从而提高肝脏早期筛查检测率。
   - 市面上主要的肝脏影像AI产品是基于CT、MRI等模态，其中MRI具备软组织分辨率高等优势。

2. **骨骼影像**：
   - 针对骨骼的AI医学影像产品主要集中在骨折和儿童骨龄领域。
   - 骨关节炎领域相关企业及产品数量较少。
   - AI骨折辅助检测、AI骨龄辅助评估领域已有相关产品获批NMPA三类证。

3. **企业及产品**：
   - 联影智能：骨折CT影像辅助检测软件，用于肋骨骨折辅助检测，获批时间为2020.11。
   - 依图医疗：儿童手部X射线影像骨龄辅助评估软件，用于骨龄辅助评估，获批时间为2021.03。
   - 汇医慧影：骨折X射线图像辅助检测软件，用于骨折辅助检测，获批时间为2021.04。

4. **具体来看**：
   - 骨折方面，以肋骨骨折辅助筛查/诊断为主流产品，能够辅助检测颅骨、手骨等全身多部位骨折的AI医学影像产品相对较少。
   - 骨龄评估方面，国内已有数家企业进军AI骨龄辅助评估领域，但在技术难度更高的辅助疾病诊断、辅助疗效评估领域成熟产品较少。

5. **应用场景**：
   - 骨龄评估：颅骨骨折、肋骨骨折、胸骨骨折及全身骨折。
   - 骨关节炎：训练数据质量参差不齐，国内相关企业数量较少。
   - 骨折：AI技术应用价值：兼顾效率与精度；难点：骨龄判读标准及训练数据集的选择。

图片底部还有一个图示，展示了AI技术在骨骼影像中主要应用情况。
