这是一张关于安徳医智案例分析的PPT，标题为“安徳医智致力于深度学习技术与临床需求的深度融合，医疗AI领域创新成果不断涌现”。图中有一个时间线，描述了安徳医智从2017年到2021年的重要事件和发展里程碑。具体内容包括：

1. **2017年**：
   - 12月，与北京天坛医院联合成立全球首家“神经疾病人工智能研究中心”。

2. **2018年**：
   - 1月，与美国麻省理工学院人工智能实验室、新加坡国立大学签署战略合作协议。
   - 6月，全球首款神經影像人工智能辅助诊断产品天医智Radio发布。
   - 10月，产品取得欧盟认证（CE）。

3. **2019年**：
   - 6月，发布脑血管病诊疗辅助决策系统。
   - 7月，天医智Radio完成欧洲首台装机。
   - 12月，获得9个国家及地区的医疗AI产品上市准入。

4. **2020年**：
   - 1月，获得国家高新技术企业认定。
   - 2月，获得人力资源和社会保障部与全国博士后管理委员会授予的博士后科研工作站资格。
   - 7月，发布急性缺血性卒中再灌注治疗智能决策平台。
   - 10月，取得第二张人工智能NMPA三类医疗器械注册证。

5. **2021年**：
   - 2月，发布人工智能辅助诊断系统。
   - 6月，获得国内首张“医学影像辅助诊断”NMPA三类医疗器械注册证。
   - 7月，作为联合成员，中标国家工信部人工智能辅助诊断国家级项目。
   - 10月，发布颅内动脉瘤智能评估系统。

此外，PPT还提到安徳医智依托世界顶级算法团队，医疗AI领域创新成果不断涌现。公司以全球顶尖人工智能专家为依托，并与国际领先的科研和医疗机构建立深度战略合作关系，深耕医疗AI领域并不断取得创新成果。2020年7月，作为联合体成员单位，中标工信部唯一国家级医疗人工智能公共平台项目；2021年4月，入围工信部新一代人工智能产业创新重点任务揭榜优胜单位。

PPT的右下角有“36氪研究院”的标志和编号“26”。
