这张图片展示了2021年中国医疗AI行业研究报告中的部分内容，主要围绕安德医智和数坤科技两家公司在医疗AI领域的案例分析。以下是图片中展示的主要内容：

### 安德医智案例分析
1. **公司背景**：
   - 安德医智是一家专注于医疗AI的企业，致力于结合临床需求，推动全身多器官、多病种、多场景应用落地，提升诊疗效率。

2. **产品与服务**：
   - **安德医智BioMind全身辅助诊断系统**：该系统以实现多模态场景应用（CT、MR、超声）为研发思路，深度嵌入就诊流程。公司是行业内首家针对影像模态布局产品的医疗AI企业，更符合医生实际工作流程。公司将进一步扩大产品矩阵，推出覆盖更多器官的AI辅助诊断产品。
   - **安德医智BioMind临床诊疗智能辅助决策类应用平台**：该平台引领医疗AI诊疗一体化，智能辅助决策系列应用包括脑血管病、脑卒中、神经内科、神经外科智能辅助决策等平台，能够基于海量高质量临床、影像数据覆盖患者管理、病因分析、术前规划、术后对比等诊疗流程，同时融合医疗质量管理评估平台，以精准医疗质控推动诊疗流程规范化。

3. **适用器官与覆盖病种**：
   - 神经系统：CT、MR，覆盖病种包括脑肿瘤、脑卒中、脑小血管病、脑梗评估等。
   - 心脏：MR、超声，覆盖病种包括主动脉瓣反流/狭窄、二尖瓣反流/狭窄、心肌梗死、扩张型心肌病、缺血性心肌病等。
   - 心血管：CT，覆盖病种包括冠心病等。
   - 乳腺：MRI，覆盖病种包括乳腺炎、乳腺增生、乳腺纤维瘤、囊肿、淋巴增生、乳腺癌等。
   - 胸部：CT，覆盖病种包括肺结节、肺炎、肺结核等。

4. **实际应用效果**：
   - 安德医智BioMind以顶尖算法赋能卒中、心脑血管病、呼吸系统病等多种疾病的监测、评估、分型、风险预警、辅助诊断、辅助决策等流程。系列产品已服务国内上百家医疗机构，切实提高脑卒中、冠心病等重大疾病诊疗效率，提升基层医疗水平，缓解医疗资源分布不均。

5. **资料来源**：安德医智，36氪研究院整理。

### 数坤科技案例分析
1. **公司背景**：
   - 数坤科技成立于2017年，致力于提供覆盖多个疾病领域与多诊疗流程的AI医学影像解决方案。

2. **产品与服务**：
   - **「数字医生」一站式产品组合**：数坤科技构建起覆盖心、脑、胸、腹、肌骨5个关键治疗领域，涵盖筛查、诊断、治疗流程的「数字医生」产品矩阵。数坤科技的专有人工智能技术平台能够基于有限的数据资源实现模型在不同影像模式中的高效率转移应用，为产品组合的持续扩展奠定坚实基础。

3. **产品组合**：
   - 筛查：CaScoreDoc、SK-StrokeDoc、LungDoc
   - 诊断：CoronaryDoc、CerebralDoc、PneumoniaDoc、LiverMRDoc、BoneDoc
   - 治疗：CoronaryDoc Plus、SK-FFR、CTPDoc、SK-FFRDSA

4. **「数字人体」技术平台**：
   - 包括算法层、数据资源管理层、基础设施层。

5. **资料来源**：
   - 公司招股书，公开资料，36氪研究院整理。

这张图片通过详细的案例分析，展示了安德医智和数坤科技在医疗AI领域的创新和发展，以及他们在提升诊疗效率和基层医疗质量方面的贡献。
