这是一张来自36氪研究院的图片，标题为“医疗AI以助力降本增效、提升诊疗水平等为核心目的，全面赋能院前、院中、院后各个环节”。图片中描述了医疗AI在各个医疗环节的应用及其主要价值。

图片分为几个部分：

1. **标题**：描述了医疗AI的主要目的和应用范围。
2. **正文**：详细解释了医疗AI的定义和应用领域，包括医学影像、临床辅助决策、精准医疗、健康管理、医疗信息化、药物研发及医疗机器人等。
3. **表格**：列出了医疗AI在不同场景中的主要细分类别及其AI技术应用价值。
   - **医学影像**：包括疾病筛查和辅助诊断，主要价值在于提高筛查效率、降低误诊率，提高诊断准确性，实现疾病精准分级、分期。
   - **临床辅助决策**：包括辅助治疗，主要价值在于治疗方案辅助决策、术前规划、手术导航和预后评估等。
   - **精准医疗**：包括基因检测，主要价值在于提升检测效率及准确率，更好辅助疾病治疗。
   - **健康管理**：包括可穿戴设备和虚拟护士，主要价值在于实现健康状况实时监测和评估，加强病人日常管理，减少患病风险。
   - **医疗信息化**：包括虚拟助理、电子病历和公共卫生信息化，主要价值在于提升导诊、分诊等环节工作效率，提升用户体验，保证数据的标准化、结构化，并最终实现辅助临床决策，在疾病预测、传染病溯源分析等方面发挥作用。
   - **药物研发**：包括研究开发和临床试验，主要价值在于用于靶点发现、化合物快速匹配等，大幅缩短研发周期，降低成本，提高研发成功率，提升临床试验效率，实现临床数据的智慧化管理。
   - **医疗机器人**：包括手术机器人和康复护理机器人，主要价值在于提升手术精确度，增强手术成功率，缓解康复医疗资源稀缺，提高患者康复质量。

图片底部注明了资料来源为36氪研究院根据公开资料整理。
