这张图片来自沙利文公司，标题为《2024年中国医疗大健康产业发展白皮书》，内容主要讨论医疗器械市场国内外盈利空间差异及企业出海策略。

1. **标题**：器械出海：国内外盈利空间差距大，本土企业出海寻出路。
2. **副标题**：海外医疗器械市场定价高，盈利空间大；国内带量采购政策显著降价，压缩企业盈利空间，本土企业需出海寻找新机遇。
3. **段落内容**：
   - 海外医疗器械市场盈利空间大：海外发达国家的医疗器械市场定价普遍较高，同样类型的产品在海外市场销售有望获得更高的利润空间。以PCI冠脉支架植入及骨科膝关节植入手术为例，外资品牌冠脉支架海外销售单价普遍在2000元以上，国内集采后目前终端价格不到800元人民币；此外，美国、新加坡等地区膝关节植入手术价格相比中国也要显著更高。这种价格差异主要源于海外市场的经济发展水平、消费能力、医疗保障制度以及市场竞争格局等多方面因素。
   - 带量采购政策下降价风险席卷，企业出海寻求发展新机遇：在中国，自2020年以来，以“国采+省级联盟”模式为主导的带量采购政策广泛实施，对医疗器械市场产生了深远的影响。带量采购政策旨在通过集中采购、以量换价的方式降低医疗器械的采购成本，从而减轻患者负担和医保支出压力。在这一政策的推动下，国内医疗器械价格降幅显著，平均降幅达到了66.1%。例如，冠脉支架和人工关节等产品的价格降幅分别达到了93%和82%。这种大幅度的降价无疑压缩了国内医疗器械企业的盈利空间，使得市场竞争更加激烈。
   - 面临国内市场竞争压力，本土企业出海成为了必要的战略选择。通过拓展海外市场，企业可以寻找新的增长点和发展空间，避免国内市场的价格战和利润压缩。同时，海外市场的高定价和可观的盈利空间也为企业提供了更多的发展机会。

4. **图表**：
   - 外资品牌国内外冠脉支架产品销售价格及手术植入价格：图表展示了不同国家（美国、墨西哥、新加坡、泰国、印度、中国）的冠脉支架销售价格及手术植入价格，其中美国的销售价格和手术植入价格最高，中国的最低。
   - 全国范围医疗器械带量采购情况，2020-2023：表格展示了不同年份不同产品的采购量及平均降幅，例如2020年11月冠脉支架的采购量为70%，平均降幅为93%。

5. **来源**：公司官网、弗若斯特沙利文、头豹研究院。
6. **底部标识**：沙利文公司标识、头豹公司标识。

这张图片详细分析了国内外医疗器械市场的盈利空间差异，以及国内带量采购政策对企业的影响，并提出了企业出海寻求发展新机遇的策略。
