这张图片展示了2024年中国医疗大健康产业发展白皮书中的信息，具体描述了中国生物制药行业市场规模的变化情况以及产业链图谱。

### 市场规模变化
- **2018年至2028年**：中国生物制药行业市场规模从2018年的262.2亿元增长到2028年的预测值963.2亿元，年复合增长率为13.9%。
- **细分领域占比**：
  - **2018年**：
    - 血液制品：57.2%
    - 抗体药物：17.7%
    - 重组蛋白：15.3%
    - 人用疫苗：6.1%
    - 其他：3.7%
  - **2022年**：
    - 血液制品：30.7%
    - 抗体药物：29.7%
    - 重组蛋白：16.6%
    - 人用疫苗：5.0%
    - 其他：18.0%

### 行业发展历程
- **1985年**：药品生产管理规范实施，开始规范药品生产。
- **1999年**：药品临床试验管理规范出台，建立临床试验标准。
- **2004年**：生物制品批签发管理办法实施，加强生物制品监管。
- **2005年**：产品质量成为关注焦点，仿制药和国际创新药快速发展。
- **2010年**：生产工艺与流程控制成为重点，仿制药时代到来。
- **2015年**：生物类似药研发与评价技术指导原则发布，推动生物类似药发展。
- **2019年**：国家组织药品集中采购和使用试点启动，优化药品采购流程。
- **2023年**：医药工业高质量发展行动计划发布，支持创新药品研发。

### 产业链图谱
- **上游**：
  - 原辅料供应商：包括东阳光药、ER-KANG、昭行、Cyagen、赛业生物等。
  - CXO服务提供商：包括HITGEN、药明康德、Tigermed、WuXi AppTec等。
- **中游**：
  - 生物制剂研发生产厂商：包括上海莱士、博雅生物、天坛生物等。
  - 细分领域龙头企业：包括血液制品生产商、重组蛋白生产商、抗体药物生产商等。
- **下游**：
  - 诊疗机构、零售终端与患者：包括北京协和医院、中国医学科学院肿瘤医院等诊疗机构，以及大参林、老百姓、益丰大药房等线上线下药店。

### 背景信息
- 这张图片来自于沙利文（Frost & Sullivan）和头豹（LeadLeo）联合发布的《2024年中国医疗大健康产业发展白皮书》。
- 图片中的信息反映了全球各国聚焦生物创新技术研究，政府资金和高端人才培养推动健康产业发展，药品监管部门优化审批流程以加快新药上市，本土政策通过支撑临床科研和审批等环节推动生物制药产业升级。
- 图片底部的标志包括CITIC、PROSTOSULLIVAN、沙利文、头豹LeadLeo等，表明了图片的来源和权威性。

这张图片全面展示了2024年中国医疗大健康产业的发展情况，包括市场规模变化、行业发展历程和产业链图谱，为理解中国生物制药行业的现状和未来趋势提供了重要信息。
