这张图片展示了一份关于2024年中国医疗大健康产业发展的白皮书，其中详细描述了中医药行业的产业链图谱。图片分为三个主要部分，分别描述了产业链的上游、中游和下游。

1. **上游部分**：
   - 描述了中药材料的供应环节，包括药用植物、药用动物和药用矿物等。
   - 列举了一些中药材料供应商和制药设备生产商，如野宝药业、两面针、云南白药、太极集团、天士力医药等。
   - 强调了技术创新和自动化在中药制药设备行业中的重要性。

2. **中游部分**：
   - 描述了中药制剂和中药产品的研发生产环节。
   - 列举了一些中药饮片厂商、中药成药厂商和中药保健品厂商，如康恩贝、红日药业、太极集团、北京同仁堂等。
   - 提供了2019年至2023年中药注册申请数量和医保中成药品种数量的数据。

3. **下游部分**：
   - 描述了中药流通配送环节与诊疗机构、零售药店等中医药数量终端。
   - 列举了一些中药运输服务提供商、中医诊疗机构和线上线下药店，如顺丰速运、京东物流、九州通医药集团、广安门医院、好药师网上药店等。
   - 强调了中药物流配送及零售作为中药产品流通向市场的最后一环的重要性。

图片底部还注明了数据来源，包括国家卫健委、弗若斯特沙利文、头豹研究院等机构。
