这张图片是2024年中国医疗大健康产业发展白皮书的一部分，标题为“发展趋势：数字化赋能中医信息管理，全球化带动市场扩容”。图片中主要描述了中医药产业数字化变革的驱动因素，包括政策、技术、需求、资本等方面。

1. **政策因素**：
   - 2023年2月，国务院办公厅发布《中医药振兴发展重大工程实施方案》。
   - 2022年11月，国家中医药管理局发布《“十四五”中医药信息化发展规划》。
   - 2019年10月，国务院办公厅发布《关于促进中医药传承创新发展的意见》。
   - 2016年2月，国务院办公厅发布《中医药发展战略规划纲要》。

2. **技术因素**：
   - 云计算、人工智能、物联网等新技术使得数字化技术逐步渗透进入中医药行业各环节，产业运作模式得以重塑，同时伴随中医药信息化基础设施建设的逐步完善，中医药保障体系得到进一步深化发展和推进。

3. **需求因素**：
   - 人口老龄化导致“以养代治”理念优势凸显，数字化诊疗助力医疗资源覆盖拓展。
   - 图表展示了2018年至2023年65岁及以上人口数量及占比，从1.7亿增加到2.2亿，占比从11.9%增加到15.4%。

4. **资本因素**：
   - 健康管理需求带动中医诊疗资源均衡化发展，伴随新兴技术融合，资本市场关注度提升。
   - 图表展示了2018年至2023年中医线上诊疗融资轮次分布，包括天使轮、Pre-A轮、A&A+轮、B&B+轮、C轮、IPO等。

5. **支撑因素**：
   - 新型信息技术的发展和应用为传统中医药产业提供信息化管理途径，产业管理体系升级助力中医药全球影响力提升。

6. **总结**：
   - 随着国家及省级数据中心的深度优化，迭代信息技术将更加广泛地应用于中医药领域。通过人工智能和大数据分析，中医药数据的价值将得到进一步挖掘和利用，助力精准医疗和个性化健康管理的发展。同时，国际标准化活动的参与将加速缩短中医药信息标准与全球水平的差距，助力传统中医药快速走向世界。

图片底部标注了来源：国家中医药管理局、中国政府、国家民政部、弗若斯特沙利文、头豹研究院，并附有头豹（LeadLeo）和沙利文（Frost & Sullivan）的标志。
