这张图片来自于沙利文（Frost & Sullivan）和头豹（LeadLeo）的研究报告，标题为“2024年中国医疗大健康产业发展白皮书”。图片主要描述了传统中医药的国际地位提升和“一带一路”深化中药合作的发展趋势。

图片中包含了一些关键数据和图表：

1. **文字部分**：
   - 描述了传统中医药产品进出口贸易逐年向好，市场开放度提升。
   - 提到中医药国际化战略实施带动“一带一路”合作深化，推动中医药国际贸易蓬勃发展，助力中国与全球多国的中药供需关系和文化交流环境良性发展。

2. **图表部分**：
   - **柱状图**：展示了中国中药类产品进出口贸易额从2018年到2023年的变化情况。2018年进口额为18.6亿美元，出口额为39.1亿美元；到2023年，进口额增长到54.6亿美元，出口额增长到28.9亿美元。整体趋势是进口和出口额都在逐年增加。
   - **饼状图**：展示了2023年中国中药类产品进出口贸易的细分占比。进口部分中，提取物占59.7%，中成药占24.2%，中药材及饮片占6.2%，保健品占9.9%。出口部分中，提取物占40.2%，中成药占21.5%，中药材及饮片占14.7%，保健品占23.7%。

3. **其他信息**：
   - 提到自2013年“一带一路”倡议实施以来，中医药国际合作稳步深化，全球影响力显著提升。
   - 列出了2023年中国中药材及饮片进口前十市场，包括印尼、加拿大、缅甸、新西兰、印度、越南、韩国、伊朗、俄罗斯和美国。
   - 列出了2023年中国中成药出口前十市场，包括中国香港、马来西亚、美国、新加坡、印尼、日本、泰国、中国澳门、缅甸和越南。

这张图片通过数据和图表详细展示了传统中医药在国际市场的地位提升和“一带一路”合作深化对中医药国际贸易的积极影响。
