这张图片展示了G20国家中，中等收入经济体与高收入经济体在工人人均资本存量增长方面的比较。图片分为三个主要部分：

1. **标题和描述**：
   - 标题指出，G20中等收入经济体在工人人均资本存量增长方面高于高收入经济体。
   - 描述提到，高收入G20国家在1997年至2019年间，工人人均资本增长较低，且没有超过一个百分点的生产力增长归因于资本深化。麦肯锡全球研究所的研究表明，在发达经济体中，工人每小时资本投资的下降是生产力增长放缓的一半原因。

2. **图表**：
   - 图表分为三部分：
     - **左上角**：列出了不同国家的工人人均劳动生产率（2017年，按购买力平价计算，千美元）。
     - **中间**：展示了2000年至2019年期间，各经济体工人人均生产力增长的贡献因素，包括资本和其他因素。
     - **右上角**：显示了1997年和2019年工人人均资本存量（按2019年国际美元计算，千美元）。

3. **具体数据**：
   - **中等收入经济体**：如印度、印度尼西亚、南非、巴西、墨西哥、俄罗斯、中国、阿根廷、土耳其、沙特阿拉伯。
   - **高收入经济体**：如意大利、韩国、日本、法国、德国、加拿大、英国、澳大利亚、美国。
   - 每个国家的数据包括工人人均劳动生产率、资本对生产力增长的贡献、其他因素对生产力增长的贡献，以及1997年和2019年工人人均资本存量。

4. **注释**：
   - 提供了数据来源和计算方法，包括GDP、资本投资、劳动力质量等。

5. **结论**：
   - 中等收入经济体在工人人均资本存量增长方面表现更好，而高收入经济体则面临资本投资下降和生产力增长放缓的问题。

这张图片通过详细的数据和图表，展示了不同经济体在资本投资和生产力增长方面的差异，为政策制定者和研究者提供了重要的参考信息。
