这张图片展示了不同国家在实现经济赋权过程中，收入增长、不平等和可负担性对人们能力的影响。图表分为两部分：高收入和中等收入经济体，分别展示了住房、食品、交通、医疗和其他方面的支出比例。

### 图表内容概述：
1. **标题**：图表的标题是“住房和高收入经济体中食品分别占赋权成本的最大份额”。
2. **数据来源**：数据来自牛津经济研究院、WageIndicator、世界银行和麦肯锡全球研究院的分析。
3. **国家分类**：
   - **高收入经济体**：包括印度、印度尼西亚、南非、巴西、墨西哥、俄罗斯、中国、阿根廷、土耳其、沙特阿拉伯、意大利、韩国、日本、法国、德国、加拿大、英国、澳大利亚、美国和G20整体。
   - **中等收入经济体**：包括沙特阿拉伯、意大利、韩国、日本、法国、德国、加拿大、英国、澳大利亚、美国和G20整体。
4. **支出类别**：包括住房、食品、交通、医疗和其他。
5. **赋权成本**：每个国家或经济体在赋权成本方面的总支出百分比和人均赋权成本（2022年美元）。

### 图表细节：
- **印度**：住房占24%，食品占31%，交通占4%，医疗占11%，其他占30%。赋权成本为74%，人均赋权成本为4.2美元。
- **印度尼西亚**：住房占15%，食品占39%，交通占9%，医疗占6%，其他占31%。赋权成本为44%，人均赋权成本为4.9美元。
- **南非**：住房占22%，食品占26%，交通占13%，医疗占10%，其他占29%。赋权成本为61%，人均赋权成本为10.1美元。
- **巴西**：住房占19%，食品占31%，交通占24%，医疗占3%，其他占22%。赋权成本为43%，人均赋权成本为10.3美元。
- **墨西哥**：住房占26%，食品占27%，交通占33%，医疗占5%，其他占23%。赋权成本为46%，人均赋权成本为12.7美元。
- **俄罗斯**：住房占16%，食品占46%，交通占12%，医疗占4%，其他占22%。赋权成本为27%，人均赋权成本为8.7美元。
- **中国**：住房占33%，食品占21%，交通占29%，医疗占15%，其他占21%。赋权成本为42%，人均赋权成本为14.7美元。
- **土耳其**：住房占28%，食品占21%，交通占14%，医疗占4%，其他占33%。赋权成本为24%，人均赋权成本为9.4美元。
- **中等收入经济体**：住房占24%，食品占31%，交通占15%，医疗占5%，其他占25%。赋权成本为39%，人均赋权成本为9.5美元。
- **沙特阿拉伯**：住房占32%，食品占28%，交通占12%，医疗占3%，其他占25%。赋权成本为24%，人均赋权成本为13.8美元。
- **意大利**：住房占33%，食品占20%，交通占18%，医疗占3%，其他占25%。赋权成本为25%，人均赋权成本为22.7美元。
- **韩国**：住房占25%，食品占35%，交通占18%，医疗占2%，其他占20%。赋权成本为24%，人均赋权成本为22.3美元。
- **日本**：住房占20%，食品占27%，交通占15%，医疗占5%，其他占32%。赋权成本为25%，人均赋权成本为24.3美元。
- **法国**：住房占41%，食品占20%，交通占14%，医疗占4%，其他占21%。赋权成本为29%，人均赋权成本为31.1美元。
- **德国**：住房占36%，食品占19%，交通占18%，医疗占3%，其他占25%。赋权成本为28%，人均赋权成本为37.8美元。
- **加拿大**：住房占40%，食品占16%，交通占14%，医疗占8%，其他占22%。赋权成本为24%，人均赋权成本为31.9美元。
- **英国**：住房占38%，食品占19%，交通占17%，医疗占4%，其他占21%。赋权成本为23%，人均赋权成本为39.2美元。
- **澳大利亚**：住房占24%，食品占15%，交通占19%，医疗占23%，其他占19%。赋权成本为33%，人均赋权成本为56.3美元。
- **美国**：住房占34%，食品占20%，交通占16%，医疗占7%，其他占23
