这张图表展示了美国的小微企业（MSME）与大型企业之间的生产力差距，并与其他发达经济体的数据进行比较。图表分为两部分：左边是MSME生产力比率，右边是MSME与大型公司的生产力差距。

### 图表内容描述：

1. **标题和副标题**：
   - 标题：美国的小微企业生产力只有大型企业的一半——这一差距比其他发达经济体更大。
   - 副标题：MSME生产力，每位工人的增加值（以购买力平价计算），千美元。

2. **数据来源**：
   - 数据来源包括国家经济和商业普查、Eurostat、国际劳工组织统计部门、劳动力调查、中小企业调查、OECD、S&P全球市场情报和麦肯锡全球研究院分析。

3. **图表内容**：
   - 每个国家或地区都有两个条形图：
     - 蓝色条形图表示MSME生产力比率。
     - 灰色条形图表示MSME与大型公司的生产力差距。
   - 圆圈中的数字表示生产力差距的百分比。

4. **国家/地区**：
   - 葡萄牙、波兰、以色列、西班牙、澳大利亚、意大利、德国、日本、美国、英国和发达经济体平均值。
   - 每个国家的MSME生产力比率与生产力差距都有所不同。

5. **具体数据**：
   - 美国的MSME生产力比率为47，生产力差距为53。
   - 英国的MSME生产力比率为84，生产力差距为16。
   - 发达经济体平均值为60，生产力差距为40。

6. **注释**：
   - 图表底部有详细的注释，解释了数据的定义和来源。

### 总结：
图表显示了美国的小微企业与大型企业之间的生产力差距，并与其他发达经济体进行了比较。美国的小微企业生产力比大型企业低得多，这一差距比其他发达经济体更大。
