这张图片展示了一份关于Z世代和千禧一代在消费行为上的环保意识调查报告。图片的上半部分包含了一些文字说明和两个圆形图表，下半部分则是一个柱状图。

1. **文字说明**：
   - 文字部分提到，尽管Z世代和千禧一代认为需要采取更多行动应对气候变化，但大多数受访者同意他们的雇主正在努力应对气候变化。具体数据表明，59%的Z世代和58%的千禧一代表示，他们的雇主正在提供培训和支持，帮助员工向低碳经济转型。
   - 文字还提到，除了自己的雇主，受访者还通过有环保意识的消费决策来推动企业关注环保，例如拒绝购买时尚产品、减少航空旅行、吃素或纯素饮食、购买电动汽车等。

2. **圆形图表**：
   - 第一个圆形图表显示，64%的Z世代和63%的千禧一代愿意支付更多费用来购买环境可持续的产品或服务。
   - 第二个圆形图表显示，25%的Z世代和24%的千禧一代由于企业供应链中不可持续的做法而停止或减少与企业的关系。

3. **柱状图**：
   - 柱状图展示了Z世代和千禧一代在购买公司的产品或服务之前，对公司的环境影响/政策进行研究的比例，以及他们避免购买时尚产品、减少航空旅行、吃素/纯素饮食、购买电动汽车等行为的比例。
   - 具体数据如下：
     - 在购买公司的产品或服务之前，对公司的环境影响/政策进行研究：Z世代为30%，千禧一代为29%。
     - 避免购买时尚产品：Z世代为35%，千禧一代为25%。
     - 减少航空旅行：Z世代为30%，千禧一代为23%。
     - 吃素/纯素饮食：Z世代为26%，千禧一代为24%。
     - 购买电动汽车：Z世代为18%，千禧一代为19%。

4. **背景**：
   - 图片的背景是一片绿色的森林，给人一种自然和环保的感觉。

这张图片通过文字和图表的形式，详细展示了Z世代和千禧一代在消费行为上的环保意识，以及他们对企业环保行为的关注和期望。
