这张图片展示了一份关于Z世代和千禧一代的工作压力调查报告。报告的标题是“德勤全球2024年Z世代与千禧一代调研报告”。图片左侧是报告的文字内容，右侧是一张图表，显示了Z世代和千禧一代在职场中面临的主要压力来源。

文字内容提到，受访者表示，长期的财务前景、家庭健康和福利，以及日常财务状况是导致他们压力水平较高的主要因素。报告还指出，经常感到压力或焦虑的受访者中，约有三分之一表示，他们的工作（36%的Z世代和33%的千禧一代）和工作/生活平衡（34%的Z世代和30%的千禧一代）对他们的压力水平贡献很大。工作中的压力源包括工作得不到认可、工作时间长、没有足够的时间完成工作、工作方式或地点缺乏控制等。

右侧的图表列出了以下工作方面导致焦虑或压力的百分比：
1. 未得到足够的工作认可/奖励（Z世代51%，千禧一代53%）
2. 工作时间长（Z世代51%，千禧一代51%）
3. 没有足够的时间完成工作（Z世代50%，千禧一代45%）
4. 不觉得工作中的决定是以公平、公正的方式做出的（Z世代49%，千禧一代50%）
5. 没有获得工作的意义和/或目标感（Z世代48%，千禧一代46%）
6. 没有得到领导的支持（Z世代46%，千禧一代49%）
7. 可能影响我的变化（Z世代46%，千禧一代48%）
8. 无法控制我工作的地点或方式（Z世代44%，千禧一代44%）
9. 感觉不被同事包容（Z世代43%，千禧一代40%）

图片右侧还有一张照片，显示一位穿着白衬衫和领带的人正在办公桌前工作，桌上有一台笔记本电脑和一些文件。
