这张图片展示了2023年全球医疗行业展望中关于气候风险和健康影响的图表和文字说明。

1. **标题和副标题**：
   - 标题：2023年全球医疗行业展望
   - 副标题：可持续性

2. **图表1：气候变化是人类面临的常见健康风险**：
   - 图表描述了气候变化对人类健康的影响，包括：
     - 野火
     - 海平面上升
     - 极端高温
     - 恶劣天气
     - 空气污染
     - 干旱

3. **健康影响**：
   - 呼吸道疾病（如哮喘）
   - 传染病（如病毒性肺炎、疟疾、新冠肺炎）
   - 神经系统疾病（如神经紊乱、焦虑、抑郁、痴呆）
   - 胃肠道疾病（如营养不良、腹泻）
   - 多系统疾病（如中毒、心脏衰竭、发作）

4. **资料来源**：
   - 德勤对科学研究和IPCC报告的分析

5. **文字说明**：
   - 预计到2030年，每年应对公共卫生风险的代价将高达20亿至40亿美元。
   - 受影响最严重地区的居民往往无法支持家庭或应对气候变化的后果。
   - 医疗体系应提升其韧性和可持续性以应对气候威胁。
   - 医疗机构必须做好准备，在自然灾害发生后提供医疗服务，在天气相关疾病爆发时确保药物供应，并采取措施减少浪费。
   - 与气候变化相关的疾病日益增多，虽然这些疾病的治疗由医疗机构负责，但医务人员也受到了影响。
   - 极端天气会导致停电、洪涝和其他阻碍患者就诊的状况，从而扰乱医院和医疗设施的运作。
   - 医务人员比一般群众能更强烈地感知气候变化引发的身体健康和精神健康方面的需求。
   - 在新冠疫情期间，公众对医疗设施的需求上升加大了医务人员的工作难度。
   - 医疗行业正在审查业务运营，重新评估流程，并规划目标以降低对气候变化的影响。

这张图片通过图表和文字详细描述了气候变化对人类健康的影响，强调了医疗行业需要采取的措施以应对这些挑战。
