这是一张关于2021年全球医疗行业展望的图片，内容主要讨论了医疗行业在数字化转型和实现数据互通方面的趋势和挑战。图片中包含多个要点，具体描述如下：

1. **评估新的服务和财务模型**：
   - 新冠疫情的爆发提示医疗行业需要将消费者置于所有业务决策的中心，并致力于提升人类健康体验。
   - 需要重新定义产品和市场服务，构建医疗服务模型以满足消费者需求和目标，并需要无缝连接和个性化。
   - 企业需要建立与竞争对手和传统竞争者之间的非常规和意想不到的合作关系。
   - 企业需要投资以优化或替换基础结构、技术和劳动力流程，并考虑新兴的财务模型。

2. **投资虚拟医疗技术并培训相应的临床医生**：
   - 改善远程医疗的功能并设计服务流程，使消费者可以通过第三方服务直接向自己的医生问诊。
   - 组织应帮助医生维持使用虚拟医疗，而不是回到传统的面对面问诊中。

3. **解决数据互通带来的挑战**：
   - 通过基于通用标准并具有个人纵向生活记录的健康数据互通来支持数据共享。
   - 对医疗健康平台和电子病历进行标准化管理，以实现数据库的整合，使组织可以应用人工智能进行预测。

4. **建立健全的治理框架**：
   - 以支持应变管理和数字化转型文化，包括明确数据所有权、网络安全、患者知情同意权和患者教育。

5. **哪些行动可以帮助医疗组织加速数字化转型并实现充分的数据互通**：
   - 创建强大的健康信息技术（IT）基础架构，考虑云端解决方案，实施可访问的综合电子病历系统和基础数字技术，以加速数字化。
   - 培养数字化领导技能，提高临床和非临床医护人员的数字化素养，为医护人员及患者提供学习机会。

图片整体布局清晰，内容详尽，涵盖了医疗行业在数字化转型和数据互通方面的多个重要方面。
