这是一份关于中国患者援助行业的分析报告，标题为“中国患者援助年鉴|第二章 中国患者援助行业分析”。报告主要分为两个部分，第一部分是患者情况，第二部分是接受援助项目患者数量总计和城市占比。

### 患者情况
- **增长趋势**：近年来接受援助项目的患者总数增长高达124.8%，预计未来仍将持续增长。
- **原因**：随着我国医疗实力的不断提升，近年来新疾病的发现与创新治疗药物的增加，推动了患者援助项目的蓬勃发展。
- **数据**：接受援助项目的患者总数从2014年的2,024人增长至2020年的261,494人，平均年复合增长率高达124.8%。2021年上半年，接受患者数量已达241,781人，预计未来患者援助作为国家全民医保的重要补充形式，仍将持续存在并进一步发展。

### 接受援助项目患者数量总计（2014-2021H1）
- **图表**：柱状图展示了2014年至2021年上半年接受援助项目的患者数量，数据来源为北京生命绿洲公益服务中心平台数据。
- **数据**：
  - 2014年：2,024人
  - 2015年：3,306人
  - 2016年：9,288人
  - 2017年：13,053人
  - 2018年：131,536人
  - 2019年：198,001人
  - 2020年：261,494人
  - 2021年上半年：241,781人

### 接受援助项目患者所在城市占比（2016 vs 2020）
- **图表**：环形图展示了2016年和2020年接受援助项目患者所在城市的占比，数据来源为北京生命绿洲公益服务中心平台数据。
- **数据**：
  - 2016年：
    - 一线城市：17.5%
    - 新一线城市：27.6%
    - 二线城市：47.6%
    - 三线城市：5.9%
    - 四线城市：0.7%
    - 五线城市：0.6%
  - 2020年：
    - 一线城市：12.9%
    - 新一线城市：9.9%
    - 二线城市：5.8%
    - 三线城市：2.6%
    - 四线城市：0.8%
    - 五线城市：0.8%

### 结论
- **一线城市患者数量占比最高**：2016年一线城市患者占比为47.6%，2020年下降至12.9%，但仍然是患者数量占比最高的城市级别。
- **医疗资源下沉**：医疗资源的下沉帮助了低线城市患者获得援助项目的机会，使得低线城市患者数量快速增长。
- **趋势**：未来患者援助项目将继续存在并进一步发展，特别是在低线城市和农村地区，患者将获得更多的治疗机会。
