这张图片展示了中国患者援助政策梳理的相关内容。图片中包含以下信息：

1. **标题**：1.2 相关政策梳理
2. **内容**：描述了患者援助项目的发展离不开政策的支持，并从慈善事业层面、药品管理层面及医疗保障层面三个方面对相关政策进行了梳理。
3. **时间轴**：从2014年前到2020年，列出了多个与患者援助项目相关的政策文件。
4. **政策文件**：
   - 2014年：《关于促进慈善事业健康发展的指导意见》
   - 2015年：《慈善组织信息公开办法》
   - 2016年：《中华人民共和国慈善法》
   - 2017年：《关于大力培育发展社区社会组织的意见》
   - 2018年：《中华人民共和国药品管理法（2019年最新修订）》
   - 2019年：《捐赠药品进口管理规定》
   - 2020年：《“健康中国2030”规划纲要》、《慈善捐赠物资免征进口税收暂行办法》等。

5. **政策层面**：分为慈善事业层面、药品管理层面和医疗保障层面，每个层面都有相应的政策文件。
6. **政策类型**：分为指导性政策和执行细则。
7. **数据来源**：德勤整理；具体政策详情见附表一；政策摘要。

图片底部还有一段文字，描述了患者援助项目的性质和我国慈善事业的发展情况，以及相关政策对慈善事业和患者援助项目的影响。
