这张图片展示了2024年至2035年间，全球材料领域的资本支出（Capex）需求，总额约为5.4万亿美元。图片中的柱状图显示了不同材料在维持现有资产、项目开发和勘探方面的投资需求，单位为十亿美元。

主要内容包括：

1. **总投资需求**：总计5.4万亿美元。
2. **主要材料**：钢、热煤、金、铜和铝是投资需求最大的五种材料，占投资需求的80%。
3. **投资分配**：
   - **维持现有资产**：占60%，是投资的主要部分。
   - **新项目开发**：占35%。
   - **勘探**：占5%。
4. **具体材料投资需求**：
   - **钢**：约1920亿美元。
   - **铜**：约780亿美元。
   - **热煤**：约770亿美元。
   - **金**：约550亿美元。
   - **镍**：约430亿美元。
   - **铝**：约390亿美元。
   - **锂**：约340亿美元。
   - **锌**：约120亿美元。
   - **稀土**：约90亿美元。
   - **锡**：约30亿美元。
   - **钴**：约10亿美元。
   - **其他**：约100亿美元。

右侧的文字说明提到，尽管需要增加对炼油厂和矿山的投资，但大部分资本支出将用于维持现有资产，尤其是上述五种主要材料。此外，铜、镍和锂的项目资本支出需求将显著增加，特别是在亚洲、拉丁美洲和撒哈拉以南非洲地区。

图片底部还注明了数据来源，包括S&P Global Market Intelligence、McKinsey MetalsMineSpans和McKinsey Value Intelligence Platform。
