这张图片展示了关于金属和采矿行业融资能力的图表。标题为“金属和采矿行业的融资能力理论上可以资助扩展”，副标题指出2023年的强劲财务表现使该行业处于良好的投资位置。

图表分为几个部分：

1. **融资能力（2024-35年，单位：十亿美元）**：
   - **估计的资本支出需求**：约5,400亿美元。
   - **融资能力**：约5,900亿美元。
   - **运行中的资本支出**：约3,300亿美元。

2. **融资来源**：
   - **新资产的现金净股息**：约40亿美元。
   - **新资产的债务融资**：约910亿美元。
   - **现有资产的现金净股息**：约910亿美元。
   - **现有资产的债务融资能力**：约750亿美元。

3. **颜色编码**：
   - 钢铁：深蓝色
   - 铝：浅蓝色
   - 煤炭：深蓝色
   - 铜：浅蓝色
   - 金：浅蓝色
   - 其他：灰色

4. **说明**：
   - 图表基于2020-2023年全球前3000家公司的现金使用和业绩。
   - 融资能力考虑了现金生成、债务融资等。
   - 数据来源包括S&P Global Market Intelligence、McKinsey Metals & Mining和McKinsey Value Intelligence Platform。

5. **备注**：
   - 基于假设长期供应等于需求。
   - 包括历史资本支出、净股息和债务融资能力。

这张图表详细展示了金属和采矿行业的财务状况和融资能力，为未来的扩展提供了理论支持。
