这张图片展示了一份关于“Missing Billion Initiative”和麦肯锡健康研究所（McKinsey Health Institute）的信息，主要关注残疾人士在获取医疗保健过程中面临的问题。图片分为几个部分，详细介绍了该倡议的目标、合作方式以及如何通过分析患者护理路径来识别和解决残疾人在健康不平等方面的问题。

**背景信息分析：**

1. **全球残疾人士的健康状况**：
   - 全球有13亿残疾人士，占全球人口的16%。
   - 残疾人患心脏病、感染HIV/AIDS的风险较高，尤其是在撒哈拉以南非洲地区。

2. **健康不平等对人类生活的影响**：
   - 残疾人死亡率比普通人高2.24倍，平均寿命短13.8年。

3. **残疾人士面临的障碍**：
   - 残疾人面临医疗系统中的失败，包括费用问题、交通工具困难、设施不便利等。

4. **解决健康不平等的措施**：
   - 麦肯锡健康研究所与“失踪的十亿”倡议合作，旨在解决健康系统挑战并缩小健康公平的差距。

5. **具体案例**：
   - 提供了患有宫颈癌和HIV的病人的案例，以提供疾病特定不平等的见解。

6. **数据引用**：
   - 引用了联合国残疾人权利公约、美国疾病控制与预防中心、世界卫生组织等来源的数据。

**总结**：
这张图片强调了残疾人士在全球范围内面临的健康不平等问题，并提出了可能的解决方案和行动建议。通过分析患者护理路径，可以识别和解决残疾人在获取医疗保健过程中面临的问题，从而推进残疾包容的医疗系统，并缩小健康公平的差距。
