这是一份华源证券的研究报告，标题为“呼吸支持类业务收入情况”。报告分为几个部分，包括公司呼吸支持类业务收入情况、毛利率情况、健康监测业务布局情况等。以下是详细描述：

1. **公司呼吸支持类业务收入情况**：
   - 图14展示了2017年至2023年上半年公司呼吸支持类业务收入（单位：亿元）和同比增长率（yoy）。
   - 收入在2017年至2023年上半年间波动，2023年上半年收入有所下降。
   - 图中用红色柱状图表示收入，黄色折线表示同比增长率。

2. **公司呼吸支持类业务毛利率情况**：
   - 图15展示了2017年至2023年上半年公司呼吸支持类业务毛利率（单位：%）。
   - 毛利率在2017年至2023年上半年间相对稳定，保持在80%左右。

3. **健康监测业务布局情况**：
   - 图16展示了公司健康监测业务的布局情况。
   - 报告提到公司健康监测业务包括用于监测人体生理参数的医疗设备，如血糖仪、血压计、体温计等。
   - 预计未来将聚焦血压、血糖、尿酸、体温、IVD类等核心产品，并计划推出4G传输血压计、血糖尿酸一体式监测系统、血糖尿酸固酮监测系统、微型多参数监测仪等多个产品。

报告的资料来源为Wind和华源证券研究。报告的页码为第11页，共22页。
