这是一张关于口腔医疗行业的分析报告图片，主要内容包括中国口腔医疗服务市场现状、患者数量、服务渗透率、以及口腔医院客单价等数据。图片中包含多个图表和文字说明，具体描述如下：

1. **标题**：图片的标题是“31 用户规模：7亿患者对应服务渗透率仅24%”，表明中国口腔医疗服务的市场渗透率较低，有较大的发展空间。

2. **文字说明**：
   - **市场规模**：2020年中国口腔患者总数达到7.03亿人，对应就诊量1.58亿人次，10年CAGR（复合年均增长率）为7%。
   - **服务渗透率**：2020年中国内地口腔医疗服务渗透率为24%，低于美国的70%和中国台湾的48.5%。
   - **种植牙渗透率**：2020年中国种植牙渗透率为22颗/万人，而海外发达国家为100-500颗/万人。
   - **正畸渗透率**：中国正畸渗透率为0.3%，而美国为1.8%。
   - **洗牙渗透率**：中国洗牙渗透率不足10%，而海外发达国家为75%。
   - **口腔医院客单价**：2020年口腔医院客单价为727.4元/人，近6年CAGR为8.8%。

3. **图表**：
   - **中国口腔患者数及口腔门诊急诊人次（亿人）**：展示了2010年至2020年间中国口腔患者数和口腔门诊急诊人次的趋势。
   - **2014-2020年中国口腔正畸及种植牙数量（万人/万颗）**：展示了2014年至2020年间中国正畸人数和种植牙颗数的增长趋势。
   - **中国口腔医院客单价（元）**：展示了2010年至2020年间中国口腔医院客单价的变化趋势，并标出了CAGR（复合年均增长率）为8.8%。
   - **美国、中国台湾、中国内地口腔医疗服务渗透率**：展示了2019年和2020年美国、中国台湾和中国内地口腔医疗服务渗透率的对比。

4. **数据来源**：数据来源于2020年中国口腔医疗行业报告、中国卫生健康统计年鉴、华经产业研究院、国盛证券研究所。

这张图片通过数据和图表详细分析了中国的口腔医疗服务市场现状，指出了市场渗透率较低但增长潜力巨大的特点。
