这张图片展示了消费医疗行业的深度行业图谱，分为上游、中游和下游三个部分，并提供了相关的毛利率和净利率数据。以下是详细分析：

### 上游供应商：生产商
**药品耗材生产商**
- **公司**：兴齐眼药、恒生制药、爱尔创、安杰丽、Allergan等。
- **毛利率**：60%~85%
- **净利率**：20%~45%

**医疗器械制造商**
- **公司**：MediWorks、Mayer、康华医疗、Lumenis、Toshiba等。
- **毛利率**：70%~90%
- **净利率**：30%~65%

**健康管理**
- **公司**：WEGO威高、CABIO嘉必优、Vazyme等。
- **毛利率**：40%~50%
- **净利率**：15%~35%

### 中游：医疗机构
**公立机构**
- **公司**：中山大学中山眼科中心、武汉大学口腔医院等。
- **毛利率**：40%~50%
- **净利率**：15%~30%

**民营机构**
- **公司**：爱尔眼科、通策医疗、锦欣生殖、华韩整形等。
- **毛利率**：50%~70%
- **净利率**：5%~15%

### 下游：获客信息平台
**综合平台**
- **公司**：阿里健康、京东健康、大众点评、美团·医美等。
- **毛利率**：80%~85%
- **净利率**：-5%~15%

**垂直平台**
- **公司**：新氧、悦美、更美、贝致等。
- **毛利率**：80%~85%
- **净利率**：-5%~15%

**社交平台**
- **公司**：小红书、抖音等。
- **毛利率**：80%~85%
- **净利率**：-5%~15%

### 总结
这张图片详细展示了消费医疗产业链的各个环节，从上游的生产商到中游的医疗机构，再到下游的获客信息平台，每个环节都有代表性的企业参与。同时，图片还提供了各部分的毛利率和净利率数据，有助于理解各环节的盈利情况。整体来看，消费医疗行业具有广阔的市场前景，各环节的企业都在积极布局，以抢占市场份额。
