这张图片展示了一份关于中国体检行业市场现状及发展趋势的分析报告。报告主要分为几个部分，包括消费者选择体检机构考虑因素、公立医院与民营体检机构的市场份额对比、2016年专业体检市场格局、公立医院与民营体检机构的对比等。

1. **消费者选择体检机构考虑因素**：
   - **门店数量**：消费者更倾向于选择门店数量多的机构，方便就近选择。
   - **价格优势**：价格优势是消费者考虑的重要因素之一。
   - **服务质量**：服务质量也是消费者选择体检机构时的重要考虑因素。

2. **市场份额对比**：
   - **2019年中国体检机构市场份额**：
     - 公立医院体检部门占据70.8%的市场份额。
     - 民营专业体检机构占据21.5%的市场份额。
     - 其他医疗机构占据7.7%的市场份额。
   - **2016年专业体检市场格局**：
     - 美年大健康占据59.8%的市场份额。
     - 爱康国宾占据12.3%的市场份额。
     - 慈铭体检占据8.3%的市场份额。
     - 华检体检占据2.8%的市场份额。
     - 其他机构占据1.2%的市场份额。

3. **公立医院与民营体检机构对比**：
   - **设备技术**：公立医院设备技术更完善，但民营体检机构设备力量相对不足。
   - **服务定位**：民营体检机构以体检业务为主，同时提供专业的健康管理服务。
   - **交叉感染风险**：民营体检机构能够尽量避免交叉感染。
   - **经营模式**：民营体检机构采用标准化的服务模式，易于复制和快速扩张。

4. **民营体检机构发展趋势**：
   - **服务优势**：民营体检机构提供个性化、高质量的服务，如健康管理与客户回访等。
   - **标准化模式**：民营体检机构形成标准化商业模式和市场化的运营管理。
   - **资本扩张**：民营体检机构在三四五线城市具备优势，突破公立医院区域化限制。

报告来源为“观研天下”和“Frost & Sullivan”，由国盛证券研究所整理。
