这张图片是关于消费医疗行业的深度分析报告，由国盛证券制作。报告主要关注了三家知名企业：爱尔眼科、通策医疗和欧普康视。以下是每家公司的主要背景信息和分析：

1. **爱尔眼科**：
   - **分级连锁打造品牌**：爱尔眼科通过分级连锁和并购模式来扩展品牌和业务。公司注重医院层面的管理人才与技术人员有机结合，推行院、科、岗三级管理体制，并在省区层面实施管理机制和组织架构，推动资源整合共享。总部层面优化集团职能部门与各省区的联合工作机制，落实各项工作规范。
   - **高效资源配置**：公司通过横向运用分级连锁诊疗推进基层医院建设，形成“横向成片”布局，提高区域间资源共享程度；纵向通过“一城多院”模式打造同城网络体系，形成“纵向成网”布局，利用视光门诊等形成流量入口，建立营销以及患者网络，实现区域内资源有效配置。
   - **并购基金模式加速扩张**：公司通过参与投资产业并购基金，许可其投资、设立的医院使用公司指定商标及“爱尔”字号，更好地满足各地眼科患者的需求。截至2021年12月31日，公司境内医院174家，门诊部118家。

2. **通策医疗**：
   - **区域总院+分院模式**：通策医疗以总院负责支撑医疗服务技能与学术地位，分院负责品牌影响力扩张并为患者提供就诊便利。这种模式增强了商业化和可复制性，便于积累口碑和快速扩张。
   - **内部高效管理，吸引优质医师**：通过横向组织跨学科团队和纵向进行总院医师合作，以医生为核心分配资源，优化诊疗过程，促进医生效率和创造力。公司还通过医教研合作和核心医生持股等方式吸引优质人才。
   - **省内蒲公英计划+省外打造“存济”品牌**：公司合作杭州口腔集团，将优质医生和机构下沉至浙江基层，截至2022年7月，已开业11家医院，下半年拟建8-10家。依托高校成立“存济医生集团”，实现北京、上海、广州等城市的持续扩张。

3. **欧普康视**：
   - **公司产品**：欧普康视的产品线包括塑形镜、普通RGP、不规则角膜RGP、减少远视离焦RGP等，材料透氧充分、塑形良好，具备效果与耐久度，其中角膜塑形镜可降近视600度，超过同类的500度。
   - **本土供应链**：公司通过自建终端和合作模式，建立了强大的本土供应链，能够快速响应市场需求，降低成本，提高生产效率。
   - **财务数据**：从2017年到2022年上半年，营业收入逐年增长，归母净利润也呈现波动增长趋势。毛利率和净利率在2017年至2022年上半年期间相对稳定，毛利率在80%左右，净利率在50%左右。销售费用率、管理费用率和研发费用率在2017年至2022年上半年期间有所波动，但整体趋势是销售费用率和管理费用率有所下降，研发费用率有所上升。
   - **业务构成**：公司的主要业务包括角膜接触镜、护理产品、医疗服务、普通框架镜销售及其他业务。角膜接触镜是公司的主要收入来源，占比逐年增加。
   - **市场拓展**：公司通过自建终端和合作模式，建立了覆盖全国的销售网络，与超过1500家终端建立了合作关系，市场占有率逐年提升。
   - **研发投入**：公司持续加大研发投入，研发费用率逐年上升，显示出公司对产品创新和技术升级的重视。
   - **盈利能力**：公司的毛利率和净利率保持稳定，显示出较强的盈利能力。
   - **风险提示**：尽管公司整体表现良好，但市场竞争加剧、政策变化等因素可能对公司未来发展产生影响。

总的来说，这张图片展示了三家公司在消费医疗行业的不同发展策略和财务表现，为投资者提供了深入的行业分析和公司背景信息。
