这张图片展示了医疗科技行业的发展成熟度评估模型及标准，通过多个维度对医疗科技主要细分赛道进行评估。以下是背景信息的全面分析：

### 图片背景信息

1. **标题与来源**：
   - 标题：“医疗科技主要细分赛道发展成熟度评估”
   - 副标题：“成熟度评估模型及标准”
   - 来源：艾瑞咨询研究院自主研究及绘制，网址为www.iresearch.com.cn，页码17。

2. **评估维度**：
   - **融资热度**：从50亿以下到1000亿以上，分为五个等级。
   - **2021年市场规模**：从20亿以下到1000亿以上，分为五个等级。
   - **政策扶持力度**：从政策对立到政策支持力度大，分为五个等级。
   - **进入壁垒**：从低到高，分为五个等级。
   - **数字化基础**：从信息化/数字化基础弱到强，分为五个等级。
   - **未来规模化能力**：从弱到强，分为五个等级。
   - **发展成熟度**：根据各维度得分的平均值得到行业投资价值。

3. **评估标准**：
   - 每个维度都有相应的评估标准，例如融资热度分为五个等级，市场规模也分为五个等级，政策扶持力度从政策对立到政策支持力度大，进入壁垒从低到高，数字化基础从弱到强，未来规模化能力从弱到强。

4. **颜色标识**：
   - 图片中使用了不同的颜色和深浅来表示各个维度的成熟度水平，颜色由浅至深表示水平由低至高。

### 图片内容分析

1. **主要细分赛道**：
   - 政府统筹与医院管理
   - 服务&用户
   - 产品&用户
   - 产品&服务
   - 智能支付

2. **细分领域**：
   - 在线诊疗
   - 医药电商
   - AI药物研发
   - 数字疗法
   - 数字化健康管理
   - AI影像
   - CDSS
   - 医疗机器人
   - 医疗智能硬件
   - 智慧病案
   - 医保信息化
   - 医疗金融

3. **成熟度水平**：
   - 每个细分领域都有不同的颜色和深浅表示其成熟度，颜色越深表示成熟度越高。

### 总结

这张图片通过多个维度对医疗科技主要细分赛道进行评估，展示了各个领域的成熟度水平。它为投资者和行业参与者提供了重要的参考信息，帮助他们了解医疗科技行业的现状和发展趋势。同时，图片中的颜色标识和注释也使得信息更加直观易懂。
