这张图片是关于数字化健康管理中智慧病案与DRGs的资料，由艾瑞咨询公司制作。图片中详细描述了病案质控的发展现状，并指出了其面临的挑战和解决方案。

图片的标题是“病案质控的发展现状”，副标题为“完整性与标准性为两大难点，‘三高’为发展目标”。主要内容包括：

1. **病案质量三级管理制度**：
   - **三级管理**：病案质量检查组定期进行定期的检查，归纳总结病案质量的问题和不足。
   - **二级管理**：质控人员检查病案，反馈错误，同时完善。质控人员比例组须规范合理，质控小组中应有数量的高级职称的医师。
   - **一级管理**：主治医师（质控医师）对病案格式、内容、病程记录等进行检查、评估。主任检查并审批出院病案，病房（科）护士长检查病案中与护理相关记录。

2. **病案质控现存难点及解决方案**：
   - **病案填写**：病案填写不全或标准不一，病案首页填写可能不完整，诊断选择问题，医学术语使用不规范，病历记录过于简单，使医生已操作的诊疗行为不可追溯，存在一定的法律风险隐患，病案信息不全，病程记录等信息不全。
   - **病案管理**：二级管理制度仍存在问题，一级质控精力和认识不足，临床医生可能存在认知不到位、重视度不高，导致很多编码缺陷、内涵缺陷均无法被有效发现。二级质控人员数量不足，病案科室人数未达标，难以保证精确质控。三级质控抽查无法解决根本问题，三级质控实际落地效果受到医院成本的制约。

3. **病案质控的目标**：
   - **高质量**：追求更加高质量的质控系统，病案首页/病历质控系统，首页管理，内涵质控，全病历质控。
   - **高效率**：提升电子病历的效率与准确率，应用目标，内涵质控，逻辑关系，基础设施，技术支撑，CDSS，NLP。
   - **高标准**：提高病历信息的标准化，二级及以上医院，电子病历评级，互联互通，医联体，HIS，EMR，病历互通，与上级医院连接。

图片底部注明了来源为艾瑞咨询研究院自主研究及绘制，并附有艾瑞咨询的官方网站链接。
