这张图片来自艾瑞咨询，标题为《医疗科技高期待值细分赛道概述》，主要介绍了五个赛道：AI新药研发、医疗机器人、数字疗法、数字孪生医疗和元宇宙医疗。每个赛道都有对应的图标，下方有选择说明，指出综合医疗科技行业的技术发展情况、宏观政策引导以及场景的智能需求等因素选择出以上赛道。

图片展示了AI药物研发的相关信息，主要内容包括：

1. **标题**：AI药物研发
2. **副标题**：助力传统药企突破“反摩尔定律”，实现数字化转型
3. **正文**：描述了近年来由于药物研发成本高、周期长、同质化竞争激烈等因素，传统制药方式面临“反摩尔定律”的挑战。AI药物研发能够显著缩短研发周期、提高研发准确率，并降低成本。目前AI药物研发正处于快速增长的阶段，预计未来几年将迎来爆发式增长。
4. **AI在药物研发中的应用及价值**：
   - **算法**：包括卷积神经网络、贝叶斯模型、循环神经网络等
   - **算力**：基于GPU和CPU的云计算平台
   - **数据**：公开数据集、企业自身数据等
5. **AI在药物研发中的具体应用环节**：
   - **靶点发现**：连接数据库、发现药物与疾病的关系、找到靶点
   - **化合物合成**：模拟化合物的药物特性、挑选最佳的模拟化合物进行合成试验
   - **临床前研究阶段**：化合物筛选、虚拟筛选技术取代高通量筛选、图像识别技术优化高通量筛选过程
   - **临床试验设计**：试验研究设计、试验流程管理
   - **药物重定向**：将药物与靶点进行交叉匹配研究
   - **批量生产**：为药企、医生、患者提供全流程的智能医学创新服务
6. **AI与传统制药相比的优势**：
   - **时间成本**：AI耗时1周，传统耗时1年
   - **费用成本**：AI花费265万美元，传统花费82235万美元
7. **结论**：AI制药和传统制药相比能够大幅缩短研发周期，降低研发投入且提高研发成功率。

图片底部标注了来源为艾瑞咨询研究院自主研究及绘制，并附有艾瑞咨询的网址和页码。

这张图片全面展示了AI药物研发的背景信息，包括其应用、价值以及与传统制药方式的对比。
