这是一张关于方舟健客的资料图片，标题为“方舟健客（1/2） 整合优质资源，构建H2H智慧医疗业务生态体系”。图片中详细介绍了方舟健客集团成立于2015年，以“让每个人更健康”为企业使命，创新构建H2H（Hospital to Home 从医院到家庭）智慧医疗业务生态体系。通过数字化手段打破围墙，融合传统家庭医生与分级诊疗模式，倡导将医疗服务、慢病管理、医患教育、药品服务等从医院逐步延伸至患者家中，从线下就诊演变为“线下首诊+线上复诊”，使优质医疗服务能够触达更多家庭。通过与商保合作，提供更多健康保障，增强医疗服务的及时性和药品服务的可及性，为慢病患者提供具备专业网络家庭医生特色的专属个性化一站式服务。

方舟健客H2H智慧医疗业务生态体系包括：
1. 方舟健客互联网医院-便捷的线上复诊平台
   - 借助终端载体“健客医生”APP，一方面通过由超过20万名注册医生组成的专业团队围绕患者需求，开展在线诊疗、慢病管理等服务；另一方面与国内外知名药企达成战略合作，推动药品可及性。
   - 特点：精准化、体系化、一站式

2. 方舟健客网上药店-医药供应的坚实支撑
   - 通过全流程大数据智能化管理完成网上药店药品的采购及管理，能够缩短库存周期、提升流转效率、降低采购成本，且药品种类齐全，能够为用户创造方便、快捷、安全的购药体验。
   - 特点：药品服务、用药指导、送药到家、用药可及、超20万药品SKU

3. 方舟健客慢病管理服务中心-慢病管理的核心
   - 打造专业化、数据化、智能化的慢病管理服务平台，已覆盖心脑血管病、糖尿病、骨关节科、男科、精神科、呼吸科、肠胃科、肿瘤科、妇科、皮肤等各科，并与各大药企和保险公司合作，共同建立了专业的慢性炎症性肠炎、男科健康、皮肤、肝病等健康管理服务中心。
   - 特点：专业团队、AI赋能、数据整合、病种划分、标准化服务、延长DOT

4. 方舟健客健康新媒体中心-全疾病周期教育驱动“医+药+患+知”服务
   - “点-线-面-体”数字化全案服务，通过文章、视频、动画、访谈、直播等形式将科普教育、咨询互动等多种服务精准触达用户，提高患者诊疗意识，填补医患信息的不对称。
   - 特点：医生触达、患者教育、账号运营、行业合作

图片底部注明了数据截至2022年6月30日，来源为方舟健客，艾瑞咨询研究院自主研究及绘制，版权所有©2022.12 iResearch Inc.
