这是一份关于公司研发投入和研发人员数量及占比的图表。具体内容如下：

1. **公司研发投入情况**：
   - 图表10展示了2018-2023年公司研发支出（百万元）及占比（%）。
   - 红色柱状图表示每年的研发支出，黄色折线表示研发支出占比。
   - 从图中可以看出，研发支出在2021年达到最高峰，随后有所下降。
   - 研发支出占比在2021年达到最高，随后有所下降。

2. **研发人员数量及占比**：
   - 图表11展示了2019-2023年研发人员数量及占比（%）。
   - 红色柱状图表示每年的研发人员数量，黄色折线表示研发人员占比。
   - 从图中可以看出，研发人员数量在2022年达到最高，随后有所下降。
   - 研发人员占比在2022年达到最高，随后有所下降。

3. **公司核心技术**：
   - 表格12列出了公司部分核心技术及其具体特征和专利或其他技术保护措施。
   - 包括血管内药物洗脱支架设计技术、纳米级界面涂层技术、定时药物控释技术、支架设计及制造工艺平台等。
   - 每项技术都有其独特的技术特征和专利保护措施。

4. **文本描述**：
   - 文本描述了公司通过持续研发投入，打造多项核心技术，包括血管内药物洗脱支架设计技术、纳米级界面涂层技术、定时药物控释技术、支架设计及制造工艺平台等。
   - 这些技术为公司提供了技术工业化稳定生产提供保障。

5. **其他信息**：
   - 图片底部有“请务必仔细阅读正文之后的免责声明”字样。
   - 图片右下角显示这是第10页，共28页。

这份图表和文本描述提供了公司研发投入、研发人员数量及占比以及公司核心技术的详细信息。
